Iter 7800, task mwe, loss 1.3415698051452636, acc 0.82883, f1 0.06387, p 0.49351, r 0.03414
Iter 7800, task hyperlinks, loss 0.42340486248334247, acc 0.84996, f1 0.34146, p 0.72800, r 0.22304
Iter 7900, task mwe, loss 1.3349990049997966, acc 0.82974, f1 0.07807, p 0.51648, r 0.04223
Iter 7900, task hyperlinks, loss 0.42654632528622943, acc 0.84658, f1 0.38210, p 0.64162, r 0.27206
Iter 8000, task mwe, loss 1.3311481714248656, acc 0.82898, f1 0.06397, p 0.50667, r 0.03414
Iter 8000, task hyperlinks, loss 0.424945205450058, acc 0.84954, f1 0.36000, p 0.69718, r 0.24265
Iter 8100, task mwe, loss 1.325041683514913, acc 0.82944, f1 0.07000, p 0.48276, r 0.03774
Iter 8100, task hyperlinks, loss 0.42264774441719055, acc 0.85123, f1 0.35075, p 0.73438, r 0.23039
Iter 8200, task mwe, loss 1.3191065708796184, acc 0.82959, f1 0.07321, p 0.49438, r 0.03953
Iter 8200, task hyperlinks, loss 0.4227917691071828, acc 0.84996, f1 0.36066, p 0.70213, r 0.24265
Iter 8300, task mwe, loss 1.3136199871699015, acc 0.83005, f1 0.07814, p 0.52222, r 0.04223
Iter 8300, task hyperlinks, loss 0.42257896065711975, acc 0.84827, f1 0.36494, p 0.67550, r 0.25000
Iter 8400, task mwe, loss 1.308226227760315, acc 0.83005, f1 0.08696, p 0.50000, r 0.04762
Iter 8400, task hyperlinks, loss 0.42159249385197956, acc 0.85123, f1 0.35075, p 0.73438, r 0.23039
Iter 8500, task mwe, loss 1.302602195739746, acc 0.83005, f1 0.09299, p 0.50442, r 0.05121
Iter 8500, task hyperlinks, loss 0.4209660490353902, acc 0.85165, f1 0.36330, p 0.72263, r 0.24265
Iter 8600, task mwe, loss 1.2976184844970704, acc 0.83036, f1 0.09158, p 0.50909, r 0.05031
Iter 8600, task hyperlinks, loss 0.42043866713841754, acc 0.84827, f1 0.36720, p 0.67320, r 0.25245
Iter 8700, task mwe, loss 1.2926842133204142, acc 0.83020, f1 0.09002, p 0.50459, r 0.04942
Iter 8700, task hyperlinks, loss 0.41871001323064166, acc 0.84954, f1 0.36462, p 0.69178, r 0.24755
Iter 8800, task mwe, loss 1.2862151304880778, acc 0.83020, f1 0.08703, p 0.50476, r 0.04762
Iter 8800, task hyperlinks, loss 0.41877370079358417, acc 0.85038, f1 0.37722, p 0.68831, r 0.25980
Iter 8900, task mwe, loss 1.2819815715154013, acc 0.82990, f1 0.06582, p 0.54167, r 0.03504
Iter 8900, task hyperlinks, loss 0.4176647663116455, acc 0.84784, f1 0.39456, p 0.64444, r 0.28431
Iter 9000, task mwe, loss 1.2745556831359863, acc 0.83020, f1 0.08867, p 0.51429, r 0.04852
Iter 9000, task hyperlinks, loss 0.41993958751360577, acc 0.84742, f1 0.39798, p 0.63784, r 0.28922
Iter 9100, task mwe, loss 1.2675659894943236, acc 0.82974, f1 0.10979, p 0.47917, r 0.06199
Iter 9100, task hyperlinks, loss 0.41834281881650287, acc 0.85080, f1 0.37790, p 0.69281, r 0.25980
