Iter 3820, task gpos, loss 1.3367998600006104
Iter 3830, task gpos, loss 1.3899015188217163
Iter 3840, task gpos, loss 1.341030240058899
Iter 3850, task gpos, loss 1.362218976020813
Iter 3860, task gpos, loss 1.366849422454834
Iter 3870, task gpos, loss 1.3539597988128662
Iter 3880, task gpos, loss 1.3488084077835083
Iter 3890, task gpos, loss 1.3564598560333252
Iter 3900, task gpos, loss 1.3616327047348022
Iter 3910, task gpos, loss 1.3589168787002563
Iter 3920, task gpos, loss 1.326045274734497
Iter 3930, task gpos, loss 1.3528192043304443
Iter 3940, task gpos, loss 1.3569602966308594
Iter 3950, task gpos, loss 1.3455841541290283
Iter 3960, task gpos, loss 1.319493293762207
Iter 3970, task gpos, loss 1.3023641109466553
Iter 3980, task gpos, loss 1.3437210321426392
Iter 3990, task gpos, loss 1.2834669351577759
Iter 4000, task gpos, loss 1.3339793682098389
Iter 4010, task gpos, loss 1.3419990539550781
Iter 4020, task gpos, loss 1.3626172542572021
Iter 4030, task gpos, loss 1.3384387493133545
Iter 4040, task gpos, loss 1.298203706741333
Iter 4050, task gpos, loss 1.318084478378296
Iter 4060, task gpos, loss 1.276550054550171
Iter 4070, task gpos, loss 1.2802448272705078
Iter 4080, task gpos, loss 1.345110297203064
Iter 4090, task gpos, loss 1.3611845970153809
Iter 4100, task gpos, loss 1.3237985372543335
Iter 4110, task gpos, loss 1.3124576807022095
Iter 4120, task gpos, loss 1.3455870151519775
Iter 4130, task gpos, loss 1.321167230606079
Iter 4140, task gpos, loss 1.3272854089736938
Iter 4150, task gpos, loss 1.3071482181549072
Iter 4160, task gpos, loss 1.2905235290527344
Iter 4170, task gpos, loss 1.2944531440734863
Iter 4180, task gpos, loss 1.248378038406372
Iter 4190, task gpos, loss 1.296140193939209
Iter 4200, task gpos, loss 1.2841402292251587
Iter 4210, task gpos, loss 1.2648521661758423
Iter 4220, task gpos, loss 1.2883906364440918
Iter 4230, task gpos, loss 1.2739098072052002
Iter 4240, task gpos, loss 1.2964893579483032
Iter 4250, task gpos, loss 1.257990837097168
Iter 4260, task gpos, loss 1.2731873989105225
Iter 4270, task gpos, loss 1.3045727014541626
Iter 4280, task gpos, loss 1.294664740562439
Iter 4290, task gpos, loss 1.3236676454544067
Iter 4300, task gpos, loss 1.2798097133636475
Iter 4310, task gpos, loss 1.3257626295089722
Iter 4320, task gpos, loss 1.2937854528427124
Iter 4330, task gpos, loss 1.2529947757720947
Iter 4340, task gpos, loss 1.3176425695419312
Iter 4350, task gpos, loss 1.2462648153305054
Iter 4360, task gpos, loss 1.2851715087890625
Iter 4370, task gpos, loss 1.278181791305542
Iter 4380, task gpos, loss 1.2689002752304077
Iter 4390, task gpos, loss 1.2413914203643799
Iter 4400, task gpos, loss 1.2593276500701904
Iter 4410, task gpos, loss 1.2874481678009033
Iter 4420, task gpos, loss 1.291872262954712
Iter 4430, task gpos, loss 1.2726802825927734
Iter 4440, task gpos, loss 1.2447868585586548
Iter 4450, task gpos, loss 1.2454434633255005
Iter 4460, task gpos, loss 1.2935512065887451
Iter 4470, task gpos, loss 1.2776496410369873
Iter 4480, task gpos, loss 1.19813072681427
Iter 4490, task gpos, loss 1.20283043384552
Iter 4500, task gpos, loss 1.2832434177398682
Iter 4510, task gpos, loss 1.2451921701431274
Iter 4520, task gpos, loss 1.2619216442108154
Iter 4530, task gpos, loss 1.2356281280517578
Iter 4540, task gpos, loss 1.2379268407821655
Iter 4550, task gpos, loss 1.2469127178192139
Iter 4560, task gpos, loss 1.2290172576904297
Iter 4570, task gpos, loss 1.2662792205810547
Iter 4580, task gpos, loss 1.3021694421768188
Iter 4590, task gpos, loss 1.225755214691162
Iter 4600, task gpos, loss 1.2588717937469482
Iter 4610, task gpos, loss 1.2179142236709595
Iter 4620, task gpos, loss 1.2468726634979248
Iter 4630, task gpos, loss 1.2600102424621582
Iter 4640, task gpos, loss 1.2213162183761597
Iter 4650, task gpos, loss 1.217745065689087
Iter 4660, task gpos, loss 1.2656266689300537
Iter 4670, task gpos, loss 1.2211354970932007
Iter 4680, task gpos, loss 1.2115439176559448
Iter 4690, task gpos, loss 1.2044883966445923
Iter 4700, task gpos, loss 1.2304399013519287
Iter 4710, task gpos, loss 1.2245359420776367
Iter 4720, task gpos, loss 1.1974537372589111
Iter 4730, task gpos, loss 1.2198584079742432
Iter 4740, task gpos, loss 1.2308131456375122
Iter 4750, task gpos, loss 1.2312532663345337
Iter 4760, task gpos, loss 1.1887857913970947
Iter 4770, task gpos, loss 1.236448049545288
Iter 4780, task gpos, loss 1.2152347564697266
Iter 4790, task gpos, loss 1.2158466577529907
Iter 4800, task gpos, loss 1.1800771951675415
Iter 4810, task gpos, loss 1.2188599109649658
Iter 4820, task gpos, loss 1.2073440551757812
Iter 4830, task gpos, loss 1.2265478372573853
Iter 4840, task gpos, loss 1.1913530826568604
Iter 4850, task gpos, loss 1.2226279973983765
Iter 4860, task gpos, loss 1.2024469375610352
Iter 4870, task gpos, loss 1.200415015220642
Iter 4880, task gpos, loss 1.1729635000228882
Iter 4890, task gpos, loss 1.1835416555404663
Iter 4900, task gpos, loss 1.202280044555664
Iter 4910, task gpos, loss 1.2165322303771973
Iter 4920, task gpos, loss 1.174635887145996
Iter 4930, task gpos, loss 1.2177191972732544
Iter 4940, task gpos, loss 1.1518995761871338
Iter 4950, task gpos, loss 1.1790422201156616
Iter 4960, task gpos, loss 1.1964770555496216
Iter 4970, task gpos, loss 1.1940377950668335
Iter 4980, task gpos, loss 1.1635632514953613
Iter 4990, task gpos, loss 1.1826767921447754
Iter 5000, task gpos, loss 1.1648141145706177
Iter 5010, task gpos, loss 1.1929152011871338
Iter 5020, task gpos, loss 1.1622720956802368
Iter 5030, task gpos, loss 1.1595518589019775
Iter 5040, task gpos, loss 1.185228705406189
Iter 5050, task gpos, loss 1.1831977367401123
Iter 5060, task gpos, loss 1.1874552965164185
Iter 5070, task gpos, loss 1.1663844585418701
Iter 5080, task gpos, loss 1.1534706354141235
Iter 5090, task gpos, loss 1.1611686944961548
Iter 5100, task gpos, loss 1.139580488204956
Iter 5110, task gpos, loss 1.2028117179870605
Iter 5120, task gpos, loss 1.1655372381210327
Iter 5130, task gpos, loss 1.1214804649353027
Iter 5140, task gpos, loss 1.186249017715454
Iter 5150, task gpos, loss 1.1484465599060059
Iter 5160, task gpos, loss 1.197898268699646
Iter 5170, task gpos, loss 1.1442009210586548
Iter 5180, task gpos, loss 1.2136348485946655
Iter 5190, task gpos, loss 1.1729904413223267
Iter 5200, task gpos, loss 1.1676990985870361
Iter 5210, task gpos, loss 1.1213538646697998
Iter 5220, task gpos, loss 1.1439918279647827
Iter 5230, task gpos, loss 1.1860973834991455
Iter 5240, task gpos, loss 1.1549956798553467
Iter 5250, task gpos, loss 1.1370786428451538
Iter 5260, task gpos, loss 1.1907943487167358
Iter 5270, task gpos, loss 1.1359931230545044
Iter 5280, task gpos, loss 1.153774619102478
Iter 5290, task gpos, loss 1.111228108406067
Iter 5300, task gpos, loss 1.144008755683899
Iter 5310, task gpos, loss 1.1281510591506958
Iter 5320, task gpos, loss 1.1505048274993896
Iter 5330, task gpos, loss 1.103595495223999
Iter 5340, task gpos, loss 1.0970652103424072
Iter 5350, task gpos, loss 1.095064401626587
Iter 5360, task gpos, loss 1.1357229948043823
Iter 5370, task gpos, loss 1.1541213989257812
Iter 5380, task gpos, loss 1.1307671070098877
Iter 5390, task gpos, loss 1.1444979906082153
Iter 5400, task gpos, loss 1.1285852193832397
Iter 5410, task gpos, loss 1.1750789880752563
Iter 5420, task gpos, loss 1.1355152130126953
Iter 5430, task gpos, loss 1.1283096075057983
Iter 5440, task gpos, loss 1.1201797723770142
Iter 5450, task gpos, loss 1.1270487308502197
Iter 5460, task gpos, loss 1.1255160570144653
Iter 5470, task gpos, loss 1.1573212146759033
Iter 5480, task gpos, loss 1.1081706285476685
Iter 5490, task gpos, loss 1.119284749031067
Iter 5500, task gpos, loss 1.1183230876922607
Iter 5510, task gpos, loss 1.0676273107528687
Iter 5520, task gpos, loss 1.121034026145935
Iter 5530, task gpos, loss 1.1224377155303955
Iter 5540, task gpos, loss 1.1147416830062866
Iter 5550, task gpos, loss 1.0875089168548584
Iter 5560, task gpos, loss 1.0993130207061768
Iter 5570, task gpos, loss 1.1402475833892822
Iter 5580, task gpos, loss 1.0846949815750122
Iter 5590, task gpos, loss 1.104292631149292
Iter 5600, task gpos, loss 1.073339819908142
Iter 5610, task gpos, loss 1.0850598812103271
Iter 5620, task gpos, loss 1.0969980955123901
Iter 5630, task gpos, loss 1.1091712713241577
Iter 5640, task gpos, loss 1.090659499168396
Iter 5650, task gpos, loss 1.1102732419967651
Iter 5660, task gpos, loss 1.0879243612289429
Iter 5670, task gpos, loss 1.1108276844024658
Iter 5680, task gpos, loss 1.0969440937042236
Iter 5690, task gpos, loss 1.0677833557128906
Iter 5700, task gpos, loss 1.070257544517517
Iter 5710, task gpos, loss 1.0667848587036133
Iter 5720, task gpos, loss 1.0641684532165527
Iter 5730, task gpos, loss 1.0961440801620483
Iter 5740, task gpos, loss 1.1116821765899658
Iter 5750, task gpos, loss 1.0814716815948486
Iter 5760, task gpos, loss 1.056126356124878
Iter 5770, task gpos, loss 1.082075834274292
Iter 5780, task gpos, loss 1.0925794839859009
Iter 5790, task gpos, loss 1.0450482368469238
Iter 5800, task gpos, loss 1.0894489288330078
Iter 5810, task gpos, loss 1.0748993158340454
Iter 5820, task gpos, loss 1.0910612344741821
Iter 5830, task gpos, loss 1.063515067100525
Iter 5840, task gpos, loss 1.040185809135437
Iter 5850, task gpos, loss 1.069104552268982
Iter 5860, task gpos, loss 1.0692206621170044
Iter 5870, task gpos, loss 1.0923354625701904
Iter 5880, task gpos, loss 1.1093683242797852
Iter 5890, task gpos, loss 1.0671870708465576
Iter 5900, task gpos, loss 1.0669763088226318
Iter 5910, task gpos, loss 1.051139235496521
Iter 5920, task gpos, loss 1.0804851055145264
Iter 5930, task gpos, loss 1.0650478601455688
Iter 5940, task gpos, loss 1.0343940258026123
