Iter 5700, task fnt, loss 0.5246012566551086, acc 0.77729, f1 0.31480, p 0.58911, r 0.21478
Iter 5700, task hyperlinks, loss 0.5348911384741465, acc 0.84573, f1 0.29412, p 0.73529, r 0.18382
Iter 5800, task fnt, loss 0.5227623822227601, acc 0.77719, f1 0.31024, p 0.59021, r 0.21042
Iter 5800, task hyperlinks, loss 0.5347039500872294, acc 0.84784, f1 0.31599, p 0.73874, r 0.20098
Iter 5900, task fnt, loss 0.5179492177501801, acc 0.77889, f1 0.34828, p 0.58389, r 0.24815
Iter 5900, task hyperlinks, loss 0.5365030268828074, acc 0.84784, f1 0.35805, p 0.68276, r 0.24265
Iter 6000, task fnt, loss 0.5195549688031597, acc 0.77683, f1 0.30331, p 0.59016, r 0.20410
Iter 6000, task hyperlinks, loss 0.5347307423750559, acc 0.84615, f1 0.34128, p 0.67883, r 0.22794
Iter 6100, task fnt, loss 0.5163534302865306, acc 0.77812, f1 0.31981, p 0.59152, r 0.21915
Iter 6100, task hyperlinks, loss 0.5329188505808512, acc 0.84700, f1 0.34011, p 0.69173, r 0.22549
Iter 6200, task fnt, loss 0.5144489513289544, acc 0.77796, f1 0.31934, p 0.58989, r 0.21893
Iter 6200, task hyperlinks, loss 0.5319377183914185, acc 0.84658, f1 0.34672, p 0.67857, r 0.23284
Iter 6300, task fnt, loss 0.5101930672122587, acc 0.77940, f1 0.34805, p 0.58626, r 0.24749
Iter 6300, task hyperlinks, loss 0.5294077694416046, acc 0.84784, f1 0.33396, p 0.71200, r 0.21814
Iter 6400, task fnt, loss 0.5127773140707323, acc 0.77801, f1 0.30178, p 0.59703, r 0.20192
Iter 6400, task hyperlinks, loss 0.5315724015235901, acc 0.84658, f1 0.37631, p 0.65060, r 0.26471
Iter 6500, task fnt, loss 0.510642671777356, acc 0.77770, f1 0.30330, p 0.59377, r 0.20366
Iter 6500, task hyperlinks, loss 0.5284768839677175, acc 0.84827, f1 0.36786, p 0.67763, r 0.25245
Iter 6600, task fnt, loss 0.5067319475835369, acc 0.77889, f1 0.32340, p 0.59233, r 0.22242
