Iter 3360, task com, loss 0.5219484567642212
Iter 3370, task com, loss 0.5318792462348938
Iter 3380, task com, loss 0.5272221565246582
Iter 3390, task com, loss 0.5239903926849365
Iter 3400, task com, loss 0.543195366859436
Iter 3410, task com, loss 0.5267055630683899
Iter 3420, task com, loss 0.5362407565116882
Iter 3430, task com, loss 0.5397810935974121
Iter 3440, task com, loss 0.5186281204223633
Iter 3450, task com, loss 0.528423011302948
Iter 3460, task com, loss 0.5167956948280334
Iter 3470, task com, loss 0.5225674510002136
Iter 3480, task com, loss 0.5323716402053833
Iter 3490, task com, loss 0.5245927572250366
Iter 3500, task com, loss 0.5178998112678528
Iter 3510, task com, loss 0.5072346925735474
Iter 3520, task com, loss 0.5284334421157837
Iter 3530, task com, loss 0.5165982246398926
Iter 3540, task com, loss 0.5185529589653015
Iter 3550, task com, loss 0.5049198269844055
Iter 3560, task com, loss 0.5290446281433105
Iter 3570, task com, loss 0.5072211623191833
Iter 3580, task com, loss 0.5258901119232178
Iter 3590, task com, loss 0.5157972574234009
Iter 3600, task com, loss 0.503337025642395
Iter 3610, task com, loss 0.5128875970840454
Iter 3620, task com, loss 0.5101358890533447
Iter 3630, task com, loss 0.5031803846359253
Iter 3640, task com, loss 0.5237909555435181
Iter 3650, task com, loss 0.5041249394416809
Iter 3660, task com, loss 0.5389677286148071
Iter 3670, task com, loss 0.5143426060676575
Iter 3680, task com, loss 0.5246580839157104
Iter 3690, task com, loss 0.5221565961837769
Iter 3700, task com, loss 0.49199360609054565
Iter 3710, task com, loss 0.5147005319595337
Iter 3720, task com, loss 0.5152541995048523
Iter 3730, task com, loss 0.5293267369270325
Iter 3740, task com, loss 0.5154876708984375
Iter 3750, task com, loss 0.5189918279647827
Iter 3760, task com, loss 0.5154536962509155
Iter 3770, task com, loss 0.5179311037063599
Iter 3780, task com, loss 0.5115919709205627
Iter 3790, task com, loss 0.5277532339096069
Iter 3800, task com, loss 0.513653576374054
Iter 3810, task com, loss 0.5174797773361206
Iter 3820, task com, loss 0.5291940569877625
Iter 3830, task com, loss 0.4956431984901428
Iter 3840, task com, loss 0.5092272758483887
Iter 3850, task com, loss 0.49128007888793945
Iter 3860, task com, loss 0.524084746837616
Iter 3870, task com, loss 0.5097619295120239
Iter 3880, task com, loss 0.5110782384872437
Iter 3890, task com, loss 0.5171818733215332
Iter 3900, task com, loss 0.5197758674621582
Iter 3910, task com, loss 0.5039288401603699
Iter 3920, task com, loss 0.5143195986747742
Iter 3930, task com, loss 0.500480055809021
Iter 3940, task com, loss 0.497258722782135
Iter 3950, task com, loss 0.5198749303817749
Iter 3960, task com, loss 0.522039532661438
Iter 3970, task com, loss 0.5286518931388855
Iter 3980, task com, loss 0.4974611699581146
Iter 3990, task com, loss 0.5164877772331238
Iter 4000, task com, loss 0.5009855628013611
Iter 4010, task com, loss 0.5051478743553162
Iter 4020, task com, loss 0.5173609256744385
Iter 4030, task com, loss 0.4829024374485016
Iter 4040, task com, loss 0.49992141127586365
Iter 4050, task com, loss 0.5120572447776794
Iter 4060, task com, loss 0.5069629549980164
Iter 4070, task com, loss 0.49383339285850525
Iter 4080, task com, loss 0.5103446245193481
Iter 4090, task com, loss 0.500796914100647
Iter 4100, task com, loss 0.5058724284172058
Iter 4110, task com, loss 0.4916537404060364
Iter 4120, task com, loss 0.49737900495529175
Iter 4130, task com, loss 0.5155768394470215
Iter 4140, task com, loss 0.49590688943862915
Iter 4150, task com, loss 0.49213892221450806
Iter 4160, task com, loss 0.4953044056892395
Iter 4170, task com, loss 0.5133525133132935
Iter 4180, task com, loss 0.49798792600631714
Iter 4190, task com, loss 0.4999059736728668
Iter 4200, task com, loss 0.4923851490020752
Iter 4210, task com, loss 0.49231091141700745
Iter 4220, task com, loss 0.4995385706424713
Iter 4230, task com, loss 0.5111875534057617
Iter 4240, task com, loss 0.49674734473228455
Iter 4250, task com, loss 0.5015766620635986
Iter 4260, task com, loss 0.4935910105705261
Iter 4270, task com, loss 0.4951355457305908
Iter 4280, task com, loss 0.49662256240844727
Iter 4290, task com, loss 0.5007940530776978
Iter 4300, task com, loss 0.5013033151626587
Iter 4310, task com, loss 0.4993981719017029
Iter 4320, task com, loss 0.4969352185726166
Iter 4330, task com, loss 0.5020108222961426
Iter 4340, task com, loss 0.5027040243148804
Iter 4350, task com, loss 0.4977613091468811
Iter 4360, task com, loss 0.49789461493492126
Iter 4370, task com, loss 0.48842817544937134
Iter 4380, task com, loss 0.4935428202152252
Iter 4390, task com, loss 0.5024357438087463
Iter 4400, task com, loss 0.48869457840919495
Iter 4410, task com, loss 0.4952316880226135
Iter 4420, task com, loss 0.5037873387336731
Iter 4430, task com, loss 0.4887879490852356
Iter 4440, task com, loss 0.49518465995788574
Iter 4450, task com, loss 0.4957152009010315
Iter 4460, task com, loss 0.4873219132423401
Iter 4470, task com, loss 0.4912891983985901
Iter 4480, task com, loss 0.48789072036743164
Iter 4490, task com, loss 0.5023096799850464
Iter 4500, task com, loss 0.4948555827140808
Iter 4510, task com, loss 0.49290981888771057
Iter 4520, task com, loss 0.5011935234069824
Iter 4530, task com, loss 0.5046521425247192
Iter 4540, task com, loss 0.4961469769477844
Iter 4550, task com, loss 0.5064736008644104
Iter 4560, task com, loss 0.4849851131439209
Iter 4570, task com, loss 0.49013131856918335
Iter 4580, task com, loss 0.4895622134208679
Iter 4590, task com, loss 0.4836820065975189
Iter 4600, task com, loss 0.4886435866355896
Iter 4610, task com, loss 0.5120813250541687
Iter 4620, task com, loss 0.49712124466896057
Iter 4630, task com, loss 0.5017298460006714
Iter 4640, task com, loss 0.49530094861984253
Iter 4650, task com, loss 0.4801359176635742
Iter 4660, task com, loss 0.5026289224624634
Iter 4670, task com, loss 0.48384326696395874
Iter 4680, task com, loss 0.494299978017807
Iter 4690, task com, loss 0.4873870313167572
Iter 4700, task com, loss 0.49178045988082886
Iter 4710, task com, loss 0.48744750022888184
Iter 4720, task com, loss 0.4969319701194763
Iter 4730, task com, loss 0.48104533553123474
Iter 4740, task com, loss 0.4919769763946533
Iter 4750, task com, loss 0.49563851952552795
Iter 4760, task com, loss 0.4773876667022705
Iter 4770, task com, loss 0.4892006814479828
Iter 4780, task com, loss 0.49115458130836487
Iter 4790, task com, loss 0.48035112023353577
Iter 4800, task com, loss 0.4743632674217224
Iter 4810, task com, loss 0.48076972365379333
Iter 4820, task com, loss 0.4831240773200989
Iter 4830, task com, loss 0.49309998750686646
Iter 4840, task com, loss 0.504458487033844
Iter 4850, task com, loss 0.5036653280258179
Iter 4860, task com, loss 0.47876906394958496
Iter 4870, task com, loss 0.47847023606300354
Iter 4880, task com, loss 0.489604651927948
Iter 4890, task com, loss 0.5001504421234131
Iter 4900, task com, loss 0.497154176235199
Iter 4910, task com, loss 0.4825545847415924
Iter 4920, task com, loss 0.47016698122024536
Iter 4930, task com, loss 0.4911232888698578
Iter 4940, task com, loss 0.48122039437294006
Iter 4950, task com, loss 0.49851399660110474
Iter 4960, task com, loss 0.5017332434654236
Iter 4970, task com, loss 0.4840380549430847
Iter 4980, task com, loss 0.4779762327671051
Iter 4990, task com, loss 0.4696316719055176
Iter 5000, task com, loss 0.4784262776374817
Iter 5010, task com, loss 0.474839448928833
Iter 5020, task com, loss 0.49423012137413025
Iter 5030, task com, loss 0.475463330745697
Iter 5040, task com, loss 0.4849936366081238
Iter 5050, task com, loss 0.4720512330532074
Iter 5060, task com, loss 0.4766848683357239
Iter 5070, task com, loss 0.48918581008911133
Iter 5080, task com, loss 0.49617576599121094
Iter 5090, task com, loss 0.4661700129508972
Iter 5100, task com, loss 0.4667362570762634
Iter 5110, task com, loss 0.47916585206985474
Iter 5120, task com, loss 0.4938122630119324
Iter 5130, task com, loss 0.47175151109695435
Iter 5140, task com, loss 0.4821372926235199
Iter 5150, task com, loss 0.4813303053379059
Iter 5160, task com, loss 0.4652843475341797
Iter 5170, task com, loss 0.48550519347190857
Iter 5180, task com, loss 0.5006898045539856
Iter 5190, task com, loss 0.48594731092453003
Iter 5200, task com, loss 0.4819484353065491
Iter 5210, task com, loss 0.4953172206878662
Iter 5220, task com, loss 0.47486019134521484
Iter 5230, task com, loss 0.4822724759578705
Iter 5240, task com, loss 0.4825754761695862
Iter 5250, task com, loss 0.45891284942626953
Iter 5260, task com, loss 0.4918583929538727
Iter 5270, task com, loss 0.48034945130348206
Iter 5280, task com, loss 0.4749619960784912
Iter 5290, task com, loss 0.46916407346725464
Iter 5300, task com, loss 0.4722493290901184
Iter 5310, task com, loss 0.47402673959732056
Iter 5320, task com, loss 0.48634305596351624
Iter 5330, task com, loss 0.47397762537002563
Iter 5340, task com, loss 0.47341638803482056
Iter 5350, task com, loss 0.4777018427848816
Iter 5360, task com, loss 0.4615798592567444
Iter 5370, task com, loss 0.48048678040504456
Iter 5380, task com, loss 0.4755326807498932
Iter 5390, task com, loss 0.48086339235305786
Iter 5400, task com, loss 0.47938957810401917
Iter 5410, task com, loss 0.465284526348114
