Iter 21400, task com, loss 0.31418103476365405, acc 0.85168, f1 0.42748, p 0.71388, r 0.30508
Iter 21500, task com, loss 0.3138718903064728, acc 0.84992, f1 0.41574, p 0.70845, r 0.29419
Iter 21600, task com, loss 0.31334851185480755, acc 0.85058, f1 0.44299, p 0.68702, r 0.32688
Iter 21700, task com, loss 0.31286027034123737, acc 0.85124, f1 0.44316, p 0.69330, r 0.32567
Iter 21800, task com, loss 0.31268999477227527, acc 0.85190, f1 0.45381, p 0.68627, r 0.33898
Iter 21900, task com, loss 0.31206241250038147, acc 0.85168, f1 0.43515, p 0.70461, r 0.31477
Iter 22000, task com, loss 0.3118501255909602, acc 0.85190, f1 0.44298, p 0.69792, r 0.32446
Iter 22100, task com, loss 0.31162149210770923, acc 0.85080, f1 0.43275, p 0.69811, r 0.31356
Iter 22200, task com, loss 0.31156665086746216, acc 0.85124, f1 0.45093, p 0.68305, r 0.33656
Iter 22300, task com, loss 0.3111432393391927, acc 0.85190, f1 0.43740, p 0.70430, r 0.31719
Iter 22400, task com, loss 0.31045536200205487, acc 0.85146, f1 0.43760, p 0.69947, r 0.31840
Iter 22500, task com, loss 0.31051838397979736, acc 0.85168, f1 0.43134, p 0.70914, r 0.30993
Iter 22600, task com, loss 0.3099014014005661, acc 0.85212, f1 0.44700, p 0.69565, r 0.32930
Iter 22700, task com, loss 0.3096045106649399, acc 0.85212, f1 0.45418, p 0.68796, r 0.33898
Iter 22800, task com, loss 0.3092097193002701, acc 0.85300, f1 0.44389, p 0.70822, r 0.32324
Iter 22900, task com, loss 0.3092459589242935, acc 0.85190, f1 0.45114, p 0.68905, r 0.33535
Iter 23000, task com, loss 0.308869332075119, acc 0.85146, f1 0.43667, p 0.70053, r 0.31719
Iter 23100, task com, loss 0.30849286417166394, acc 0.85278, f1 0.44444, p 0.70526, r 0.32446
Iter 23200, task com, loss 0.30868274470170337, acc 0.85146, f1 0.46264, p 0.67361, r 0.35230
Iter 23300, task com, loss 0.3078284313281377, acc 0.85256, f1 0.45668, p 0.68949, r 0.34140
Iter 23400, task com, loss 0.3074859430392583, acc 0.85212, f1 0.44518, p 0.69767, r 0.32688
Iter 23500, task com, loss 0.3074054519335429, acc 0.85234, f1 0.45277, p 0.69154, r 0.33656
Iter 23600, task com, loss 0.3071044733126958, acc 0.85300, f1 0.44110, p 0.71159, r 0.31961
Iter 23700, task com, loss 0.3068350702524185, acc 0.85388, f1 0.45447, p 0.70483, r 0.33535
Iter 23800, task com, loss 0.3062273512283961, acc 0.85278, f1 0.44992, p 0.69898, r 0.33172
Iter 23900, task com, loss 0.306155393520991, acc 0.85344, f1 0.44370, p 0.71314, r 0.32203
Iter 24000, task com, loss 0.30578047037124634, acc 0.85212, f1 0.44057, p 0.70292, r 0.32082
Iter 24100, task com, loss 0.30535462498664856, acc 0.85366, f1 0.45230, p 0.70513, r 0.33293
Iter 24200, task com, loss 0.3053951958815257, acc 0.85322, f1 0.45955, p 0.69268, r 0.34383
Iter 24300, task com, loss 0.30513201157251996, acc 0.85256, f1 0.44774, p 0.69923, r 0.32930
Iter 24400, task com, loss 0.30509816110134125, acc 0.85256, f1 0.44955, p 0.69720, r 0.33172
Iter 24500, task com, loss 0.3053158571322759, acc 0.85212, f1 0.43111, p 0.71429, r 0.30872
Iter 24600, task com, loss 0.3049531678358714, acc 0.85278, f1 0.46656, p 0.68140, r 0.35472
Iter 24700, task com, loss 0.3040394236644109, acc 0.85300, f1 0.45119, p 0.69975, r 0.33293
Iter 24800, task com, loss 0.30403122305870056, acc 0.85212, f1 0.44518, p 0.69767, r 0.32688
Iter 24900, task com, loss 0.30408960084120434, acc 0.85256, f1 0.43087, p 0.71955, r 0.30751
Iter 25000, task com, loss 0.30355723202228546, acc 0.85366, f1 0.46549, p 0.69048, r 0.35109
Iter 25100, task com, loss 0.3036445081233978, acc 0.85410, f1 0.46624, p 0.69378, r 0.35109
Iter 25200, task com, loss 0.30344250798225403, acc 0.85322, f1 0.45514, p 0.69750, r 0.33777
Iter 25300, task com, loss 0.3026402195294698, acc 0.85344, f1 0.44555, p 0.71088, r 0.32446
Iter 25400, task com, loss 0.3024805386861165, acc 0.85256, f1 0.44500, p 0.70235, r 0.32567
Iter 25500, task com, loss 0.3022311379512151, acc 0.85344, f1 0.44091, p 0.71662, r 0.31840
Iter 25600, task com, loss 0.30185918013254803, acc 0.85366, f1 0.45050, p 0.70725, r 0.33051
Iter 25700, task com, loss 0.3020359029372533, acc 0.85366, f1 0.46890, p 0.68692, r 0.35593
Iter 25800, task com, loss 0.30146265029907227, acc 0.85278, f1 0.45351, p 0.69500, r 0.33656
Iter 25900, task com, loss 0.30161550144354504, acc 0.85234, f1 0.45981, p 0.68421, r 0.34625
Iter 26000, task com, loss 0.30122554302215576, acc 0.85366, f1 0.45765, p 0.69900, r 0.34019
Iter 26100, task com, loss 0.30146177113056183, acc 0.85520, f1 0.45038, p 0.72386, r 0.32688
Iter 26200, task com, loss 0.30129872262477875, acc 0.85388, f1 0.45626, p 0.70277, r 0.33777
Iter 26300, task com, loss 0.3012292484442393, acc 0.85476, f1 0.45327, p 0.71540, r 0.33172
Iter 26400, task com, loss 0.30203837156295776, acc 0.85300, f1 0.47857, p 0.67177, r 0.37167
