Iter 5160, task keysem17, loss 0.4353856146335602
Iter 5170, task keysem17, loss 0.44986724853515625
Iter 5180, task keysem17, loss 0.46445709466934204
Iter 5190, task keysem17, loss 0.44380083680152893
Iter 5200, task keysem17, loss 0.44163012504577637
Iter 5210, task keysem17, loss 0.4286878705024719
Iter 5220, task keysem17, loss 0.4465908408164978
Iter 5230, task keysem17, loss 0.44897326827049255
Iter 5240, task keysem17, loss 0.4574574828147888
Iter 5250, task keysem17, loss 0.43433308601379395
Iter 5260, task keysem17, loss 0.43906155228614807
Iter 5270, task keysem17, loss 0.4399157166481018
Iter 5280, task keysem17, loss 0.4265328347682953
Iter 5290, task keysem17, loss 0.43283629417419434
Iter 5300, task keysem17, loss 0.44228020310401917
Iter 5310, task keysem17, loss 0.44376903772354126
Iter 5320, task keysem17, loss 0.44599318504333496
Iter 5330, task keysem17, loss 0.4474658966064453
Iter 5340, task keysem17, loss 0.4439774453639984
Iter 5350, task keysem17, loss 0.44070667028427124
Iter 5360, task keysem17, loss 0.4414466321468353
Iter 5370, task keysem17, loss 0.4266168475151062
Iter 5380, task keysem17, loss 0.4469670355319977
Iter 5390, task keysem17, loss 0.42117244005203247
Iter 5400, task keysem17, loss 0.43776875734329224
Iter 5410, task keysem17, loss 0.44371622800827026
Iter 5420, task keysem17, loss 0.43202629685401917
Iter 5430, task keysem17, loss 0.43705588579177856
Iter 5440, task keysem17, loss 0.44488614797592163
Iter 5450, task keysem17, loss 0.4168460965156555
Iter 5460, task keysem17, loss 0.42971882224082947
Iter 5470, task keysem17, loss 0.42832547426223755
Iter 5480, task keysem17, loss 0.44179439544677734
Iter 5490, task keysem17, loss 0.4348026216030121
Iter 5500, task keysem17, loss 0.42272186279296875
Iter 5510, task keysem17, loss 0.42367371916770935
Iter 5520, task keysem17, loss 0.44520506262779236
Iter 5530, task keysem17, loss 0.43814635276794434
Iter 5540, task keysem17, loss 0.43236666917800903
Iter 5550, task keysem17, loss 0.4136468768119812
Iter 5560, task keysem17, loss 0.43615108728408813
Iter 5570, task keysem17, loss 0.42814168334007263
Iter 5580, task keysem17, loss 0.4358612895011902
Iter 5590, task keysem17, loss 0.4345085024833679
Iter 5600, task keysem17, loss 0.4311768412590027
Iter 5610, task keysem17, loss 0.4332102835178375
Iter 5620, task keysem17, loss 0.4215831756591797
Iter 5630, task keysem17, loss 0.43802914023399353
Iter 5640, task keysem17, loss 0.43031421303749084
Iter 5650, task keysem17, loss 0.4338518977165222
Iter 5660, task keysem17, loss 0.42793330550193787
