Iter 12100, task keysem17, loss 0.3494323616226514, acc 0.84144, f1 0.67416, p 0.71150, r 0.64055
Iter 12200, task keysem17, loss 0.3504774371782939, acc 0.84132, f1 0.68832, p 0.69246, r 0.68424
Iter 12300, task keysem17, loss 0.3483698219060898, acc 0.84119, f1 0.67120, p 0.71436, r 0.63295
Iter 12400, task keysem17, loss 0.3449176624417305, acc 0.84180, f1 0.67963, p 0.70531, r 0.65575
Iter 12500, task keysem17, loss 0.3462909658749898, acc 0.84011, f1 0.67116, p 0.70833, r 0.63770
Iter 12600, task keysem17, loss 0.3448937435944875, acc 0.84119, f1 0.67350, p 0.71119, r 0.63960
Iter 12700, task keysem17, loss 0.34811041752497357, acc 0.83938, f1 0.69024, p 0.68083, r 0.69991
Iter 12800, task keysem17, loss 0.3466639096538226, acc 0.83805, f1 0.66633, p 0.70520, r 0.63153
Iter 12900, task keysem17, loss 0.3526565929253896, acc 0.83696, f1 0.69289, p 0.66828, r 0.71937
Iter 13000, task keysem17, loss 0.3461018030842145, acc 0.83999, f1 0.68530, p 0.68975, r 0.68091
Iter 13100, task keysem17, loss 0.34567098319530487, acc 0.83853, f1 0.66899, p 0.70351, r 0.63770
Iter 13200, task keysem17, loss 0.3440234462420146, acc 0.84023, f1 0.67809, p 0.69985, r 0.65764
Iter 13300, task keysem17, loss 0.3444716955224673, acc 0.83853, f1 0.66380, p 0.71095, r 0.62251
Iter 13400, task keysem17, loss 0.3440222466985385, acc 0.83841, f1 0.67338, p 0.69736, r 0.65100
Iter 13500, task keysem17, loss 0.3419394865632057, acc 0.83745, f1 0.66006, p 0.71045, r 0.61633
Iter 13600, task keysem17, loss 0.3419424792130788, acc 0.83732, f1 0.66076, p 0.70831, r 0.61918
Iter 13700, task keysem17, loss 0.34067630767822266, acc 0.83793, f1 0.66516, p 0.70554, r 0.62915
Iter 13800, task keysem17, loss 0.34145569801330566, acc 0.83853, f1 0.67354, p 0.69771, r 0.65100
Iter 13900, task keysem17, loss 0.3446624552210172, acc 0.83696, f1 0.64479, p 0.72847, r 0.57835
Iter 14000, task keysem17, loss 0.34076937039693195, acc 0.83757, f1 0.66533, p 0.70355, r 0.63105
Iter 14100, task keysem17, loss 0.33908077826102573, acc 0.83757, f1 0.66947, p 0.69773, r 0.64340
Iter 14200, task keysem17, loss 0.3413410683472951, acc 0.83551, f1 0.67436, p 0.68273, r 0.66619
Iter 14300, task keysem17, loss 0.3420015474160512, acc 0.83660, f1 0.67691, p 0.68447, r 0.66952
Iter 14400, task keysem17, loss 0.3440201058983803, acc 0.83853, f1 0.68998, p 0.67766, r 0.70275
Iter 14500, task keysem17, loss 0.340209424495697, acc 0.83732, f1 0.65764, p 0.71184, r 0.61111
Iter 14600, task keysem17, loss 0.33811574429273605, acc 0.83696, f1 0.66913, p 0.69534, r 0.64482
Iter 14700, task keysem17, loss 0.3379035045703252, acc 0.83624, f1 0.65700, p 0.70717, r 0.61349
Iter 14800, task keysem17, loss 0.3385472372174263, acc 0.83672, f1 0.66265, p 0.70229, r 0.62726
Iter 14900, task keysem17, loss 0.3356935878594716, acc 0.83890, f1 0.67579, p 0.69602, r 0.65670
Iter 15000, task keysem17, loss 0.3383035436272621, acc 0.83696, f1 0.66009, p 0.70617, r 0.61966
Iter 15100, task keysem17, loss 0.33618340889612836, acc 0.83696, f1 0.65957, p 0.70745, r 0.61776
Iter 15200, task keysem17, loss 0.33748363703489304, acc 0.83745, f1 0.67727, p 0.68771, r 0.66714
Iter 15300, task keysem17, loss 0.3373729810118675, acc 0.83684, f1 0.65923, p 0.70729, r 0.61728
Iter 15400, task keysem17, loss 0.3378601123889287, acc 0.83491, f1 0.65675, p 0.70038, r 0.61823
Iter 15500, task keysem17, loss 0.3361215442419052, acc 0.83805, f1 0.67127, p 0.69775, r 0.64672
Iter 15600, task keysem17, loss 0.33938321967919666, acc 0.83793, f1 0.68830, p 0.67708, r 0.69991
Iter 15700, task keysem17, loss 0.33558552463849384, acc 0.83841, f1 0.67369, p 0.69640, r 0.65242
Iter 15800, task keysem17, loss 0.33606183032194775, acc 0.83878, f1 0.67641, p 0.69469, r 0.65907
Iter 15900, task keysem17, loss 0.3365856756766637, acc 0.83805, f1 0.67621, p 0.69166, r 0.66144
Iter 16000, task keysem17, loss 0.3353902151187261, acc 0.83745, f1 0.67011, p 0.69581, r 0.64625
Iter 16100, task keysem17, loss 0.3340551753838857, acc 0.83708, f1 0.66848, p 0.69614, r 0.64292
Iter 16200, task keysem17, loss 0.34152180949846905, acc 0.83829, f1 0.69136, p 0.67465, r 0.70893
Iter 16300, task keysem17, loss 0.3365339661637942, acc 0.83684, f1 0.67723, p 0.68462, r 0.66999
Iter 16400, task keysem17, loss 0.33521561697125435, acc 0.83745, f1 0.66332, p 0.70438, r 0.62678
Iter 16500, task keysem17, loss 0.34015510727961856, acc 0.83599, f1 0.65047, p 0.71396, r 0.59734
Iter 16600, task keysem17, loss 0.3372784381111463, acc 0.83696, f1 0.65538, p 0.71237, r 0.60684
Iter 16700, task keysem17, loss 0.3354679060479005, acc 0.83793, f1 0.67415, p 0.69308, r 0.65622
Iter 16800, task keysem17, loss 0.33383091787497204, acc 0.83841, f1 0.66583, p 0.70585, r 0.63010
Iter 16900, task keysem17, loss 0.337515393892924, acc 0.83793, f1 0.66415, p 0.70566, r 0.62726
Iter 17000, task keysem17, loss 0.33794228235880536, acc 0.83793, f1 0.66550, p 0.70392, r 0.63105
Iter 17100, task keysem17, loss 0.33796509976188344, acc 0.83587, f1 0.66584, p 0.69377, r 0.64008
Iter 17200, task keysem17, loss 0.33911094442009926, acc 0.83817, f1 0.67840, p 0.68903, r 0.66809
Iter 17300, task keysem17, loss 0.3351951166987419, acc 0.83853, f1 0.67796, p 0.69117, r 0.66524
Iter 17400, task keysem17, loss 0.33652259161074954, acc 0.83805, f1 0.67526, p 0.69227, r 0.65907
Iter 17500, task keysem17, loss 0.33725527053078014, acc 0.83563, f1 0.66485, p 0.69386, r 0.63818
Iter 17600, task keysem17, loss 0.33727145195007324, acc 0.83841, f1 0.67842, p 0.69008, r 0.66714
Iter 17700, task keysem17, loss 0.3377004911502202, acc 0.83841, f1 0.67305, p 0.69665, r 0.65100
Iter 17800, task keysem17, loss 0.34152162695924443, acc 0.83745, f1 0.68156, p 0.68221, r 0.68091
Iter 17900, task keysem17, loss 0.339682466040055, acc 0.83829, f1 0.65564, p 0.71898, r 0.60256
Iter 18000, task keysem17, loss 0.34017372379700345, acc 0.83745, f1 0.65536, p 0.71429, r 0.60541
Iter 18100, task keysem17, loss 0.3399256517489751, acc 0.83805, f1 0.65262, p 0.72193, r 0.59544
Iter 18200, task keysem17, loss 0.34127044056852657, acc 0.83732, f1 0.67911, p 0.68452, r 0.67379
Iter 18300, task keysem17, loss 0.3410514183342457, acc 0.83708, f1 0.65520, p 0.71325, r 0.60589
Iter 18400, task keysem17, loss 0.3392327440281709, acc 0.83781, f1 0.66550, p 0.70333, r 0.63153
Iter 18500, task keysem17, loss 0.3424227684736252, acc 0.83890, f1 0.65400, p 0.72392, r 0.59639
Iter 18600, task keysem17, loss 0.3416429137190183, acc 0.83672, f1 0.67922, p 0.68182, r 0.67664
Iter 18700, task keysem17, loss 0.3415024057030678, acc 0.83793, f1 0.65461, p 0.71785, r 0.60161
Iter 18800, task keysem17, loss 0.34450708453853923, acc 0.83781, f1 0.65029, p 0.72326, r 0.59069
Iter 18900, task keysem17, loss 0.3404201343655586, acc 0.83769, f1 0.66898, p 0.69835, r 0.64198
Iter 19000, task keysem17, loss 0.3391323983669281, acc 0.83684, f1 0.67800, p 0.68373, r 0.67236
Iter 19100, task keysem17, loss 0.3440576071540515, acc 0.83708, f1 0.67863, p 0.68403, r 0.67331
Iter 19200, task keysem17, loss 0.34080853934089345, acc 0.83817, f1 0.66228, p 0.70933, r 0.62108
Iter 19300, task keysem17, loss 0.33914100875457126, acc 0.83866, f1 0.67545, p 0.69478, r 0.65717
Iter 19400, task keysem17, loss 0.3422761994103591, acc 0.83841, f1 0.65794, p 0.71644, r 0.60826
Iter 19500, task keysem17, loss 0.341718095044295, acc 0.83841, f1 0.65564, p 0.71964, r 0.60209
Iter 19600, task keysem17, loss 0.3438380224009355, acc 0.83781, f1 0.66365, p 0.70572, r 0.62631
Iter 19700, task keysem17, loss 0.34614652519424755, acc 0.83841, f1 0.65457, p 0.72048, r 0.59972
Iter 19800, task keysem17, loss 0.3438219105203946, acc 0.83902, f1 0.66667, p 0.70714, r 0.63058
Iter 19900, task keysem17, loss 0.34737757096687955, acc 0.83757, f1 0.65446, p 0.71614, r 0.60256
Iter 20000, task keysem17, loss 0.34697452187538147, acc 0.83769, f1 0.65745, p 0.71333, r 0.60969
Iter 20100, task keysem17, loss 0.34802619243661564, acc 0.83769, f1 0.65012, p 0.72284, r 0.59069
Iter 20200, task keysem17, loss 0.34383925547202426, acc 0.83817, f1 0.66533, p 0.70532, r 0.62963
Iter 20300, task keysem17, loss 0.34738899767398834, acc 0.83805, f1 0.65691, p 0.71532, r 0.60731
