Iter 9200, task streusle, loss 2.648445812861125, acc 0.63750, f1 0.38410, p 0.46230, r 0.32853
Iter 9200, task hyperlinks, loss 0.46820401151974994, acc 0.84277, f1 0.38255, p 0.60638, r 0.27941
Iter 9300, task streusle, loss 2.6408552646636965, acc 0.63857, f1 0.38546, p 0.46160, r 0.33088
Iter 9300, task hyperlinks, loss 0.4668060640494029, acc 0.84573, f1 0.36555, p 0.64596, r 0.25490
Iter 9400, task streusle, loss 2.631723435719808, acc 0.63872, f1 0.38560, p 0.46489, r 0.32941
Iter 9400, task hyperlinks, loss 0.46826212604840595, acc 0.84277, f1 0.38255, p 0.60638, r 0.27941
Iter 9500, task streusle, loss 2.6232038021087645, acc 0.64025, f1 0.38776, p 0.46592, r 0.33206
Iter 9500, task hyperlinks, loss 0.46654940644900006, acc 0.84573, f1 0.36998, p 0.64242, r 0.25980
Iter 9600, task streusle, loss 2.615623140335083, acc 0.64193, f1 0.39037, p 0.46482, r 0.33647
Iter 9600, task hyperlinks, loss 0.46507370471954346, acc 0.84235, f1 0.38602, p 0.60104, r 0.28431
Iter 9700, task streusle, loss 2.607527796427409, acc 0.64346, f1 0.39304, p 0.46734, r 0.33912
Iter 9700, task hyperlinks, loss 0.46390090386072796, acc 0.84446, f1 0.38721, p 0.61828, r 0.28186
Iter 9800, task streusle, loss 2.599645249048869, acc 0.64559, f1 0.39600, p 0.46683, r 0.34383
Iter 9800, task hyperlinks, loss 0.4640689293543498, acc 0.84193, f1 0.38333, p 0.59896, r 0.28186
Iter 9900, task streusle, loss 2.5922890186309813, acc 0.64789, f1 0.39932, p 0.46796, r 0.34825
Iter 9900, task hyperlinks, loss 0.4629503091176351, acc 0.84489, f1 0.37522, p 0.63006, r 0.26716
Iter 10000, task streusle, loss 2.5850039958953857, acc 0.64865, f1 0.40095, p 0.47409, r 0.34737
Iter 10000, task hyperlinks, loss 0.4626055856545766, acc 0.84362, f1 0.38796, p 0.61053, r 0.28431
Iter 10100, task streusle, loss 2.5781968275705975, acc 0.64880, f1 0.40081, p 0.47153, r 0.34854
Iter 10100, task hyperlinks, loss 0.4605153501033783, acc 0.84615, f1 0.38356, p 0.63636, r 0.27451
Iter 10200, task streusle, loss 2.5726030667622886, acc 0.65002, f1 0.40250, p 0.47297, r 0.35031
Iter 10200, task hyperlinks, loss 0.459761122862498, acc 0.84446, f1 0.37884, p 0.62360, r 0.27206
Iter 10300, task streusle, loss 2.565779781341553, acc 0.65262, f1 0.40596, p 0.47034, r 0.35708
Iter 10300, task hyperlinks, loss 0.46046069264411926, acc 0.84446, f1 0.38655, p 0.61497, r 0.28186
Iter 10400, task streusle, loss 2.5580406188964844, acc 0.65277, f1 0.40696, p 0.47723, r 0.35472
Iter 10400, task hyperlinks, loss 0.45876145362854004, acc 0.84658, f1 0.39189, p 0.63043, r 0.28431
Iter 10500, task streusle, loss 2.5505027612050375, acc 0.65353, f1 0.40799, p 0.47479, r 0.35767
Iter 10500, task hyperlinks, loss 0.4585202435652415, acc 0.84573, f1 0.39465, p 0.62105, r 0.28922
Iter 10600, task streusle, loss 2.5420660813649496, acc 0.65415, f1 0.40845, p 0.47448, r 0.35855
Iter 10600, task hyperlinks, loss 0.4578230679035187, acc 0.84489, f1 0.37241, p 0.62791, r 0.26471
Iter 10700, task streusle, loss 2.5337611357371013, acc 0.65750, f1 0.41409, p 0.47840, r 0.36503
Iter 10700, task hyperlinks, loss 0.4566401243209839, acc 0.84700, f1 0.39049, p 0.63536, r 0.28186
Iter 10800, task streusle, loss 2.526859664916992, acc 0.65796, f1 0.41604, p 0.48362, r 0.36503
Iter 10800, task hyperlinks, loss 0.456386536359787, acc 0.84869, f1 0.39316, p 0.64972, r 0.28186
Iter 10900, task streusle, loss 2.519635057449341, acc 0.65766, f1 0.41445, p 0.47986, r 0.36473
Iter 10900, task hyperlinks, loss 0.4563562075297038, acc 0.84489, f1 0.36364, p 0.63415, r 0.25490
Iter 11000, task streusle, loss 2.511045980453491, acc 0.65949, f1 0.41683, p 0.47916, r 0.36885
Iter 11000, task hyperlinks, loss 0.45422937472661334, acc 0.84869, f1 0.38687, p 0.65497, r 0.27451
Iter 11100, task streusle, loss 2.502919324239095, acc 0.66071, f1 0.41980, p 0.48606, r 0.36944
Iter 11100, task hyperlinks, loss 0.4540066421031952, acc 0.84869, f1 0.39932, p 0.64481, r 0.28922
Iter 11200, task streusle, loss 2.4966034094492593, acc 0.66071, f1 0.41848, p 0.48053, r 0.37062
Iter 11200, task hyperlinks, loss 0.4552621642748515, acc 0.84658, f1 0.41176, p 0.61765, r 0.30882
Iter 11300, task streusle, loss 2.490367555618286, acc 0.66422, f1 0.42712, p 0.49344, r 0.37651
Iter 11300, task hyperlinks, loss 0.45342810948689777, acc 0.84911, f1 0.38966, p 0.65698, r 0.27696
Iter 11400, task streusle, loss 2.4809855620066323, acc 0.66514, f1 0.42689, p 0.48789, r 0.37945
Iter 11400, task hyperlinks, loss 0.45461039741834003, acc 0.84700, f1 0.42003, p 0.61611, r 0.31863
Iter 11500, task streusle, loss 2.471789598464966, acc 0.66514, f1 0.42601, p 0.48320, r 0.38092
Iter 11500, task hyperlinks, loss 0.4546741545200348, acc 0.84489, f1 0.42947, p 0.59565, r 0.33578
Iter 11600, task streusle, loss 2.464204502105713, acc 0.66789, f1 0.43095, p 0.48880, r 0.38534
Iter 11600, task hyperlinks, loss 0.453669011592865, acc 0.84573, f1 0.41424, p 0.60952, r 0.31373
Iter 11700, task streusle, loss 2.457473961512248, acc 0.66835, f1 0.43128, p 0.49062, r 0.38475
Iter 11700, task hyperlinks, loss 0.4506865243117015, acc 0.84911, f1 0.39796, p 0.65000, r 0.28676
Iter 11800, task streusle, loss 2.4486812114715577, acc 0.66926, f1 0.43307, p 0.49286, r 0.38622
Iter 11800, task hyperlinks, loss 0.4493613640467326, acc 0.84996, f1 0.40940, p 0.64894, r 0.29902
Iter 11900, task streusle, loss 2.441647942860921, acc 0.67171, f1 0.43753, p 0.49627, r 0.39123
Iter 11900, task hyperlinks, loss 0.449640820423762, acc 0.84911, f1 0.39590, p 0.65169, r 0.28431
Iter 12000, task streusle, loss 2.4346150080362956, acc 0.67033, f1 0.43383, p 0.48822, r 0.39034
Iter 12000, task hyperlinks, loss 0.45135778188705444, acc 0.84700, f1 0.42560, p 0.61290, r 0.32598
Iter 12100, task streusle, loss 2.426449775695801, acc 0.67048, f1 0.43481, p 0.49401, r 0.38828
Iter 12100, task hyperlinks, loss 0.45002386967341107, acc 0.84911, f1 0.42718, p 0.62857, r 0.32353
Iter 12200, task streusle, loss 2.4183544476826984, acc 0.67125, f1 0.43658, p 0.49478, r 0.39064
Iter 12200, task hyperlinks, loss 0.4473248819510142, acc 0.84996, f1 0.40136, p 0.65556, r 0.28922
Iter 12300, task streusle, loss 2.4104806423187255, acc 0.67400, f1 0.44041, p 0.49613, r 0.39594
Iter 12300, task hyperlinks, loss 0.44756100575129193, acc 0.85038, f1 0.41791, p 0.64615, r 0.30882
Iter 12400, task streusle, loss 2.4031845887502032, acc 0.67415, f1 0.44182, p 0.49926, r 0.39623
Iter 12400, task hyperlinks, loss 0.45363221565882367, acc 0.84320, f1 0.43558, p 0.58197, r 0.34804
Iter 12500, task streusle, loss 2.3964763482411704, acc 0.67522, f1 0.44364, p 0.49926, r 0.39918
Iter 12500, task hyperlinks, loss 0.4471847613652547, acc 0.84700, f1 0.42925, p 0.61086, r 0.33088
Iter 12600, task streusle, loss 2.3881734212239585, acc 0.67598, f1 0.44477, p 0.49890, r 0.40124
Iter 12600, task hyperlinks, loss 0.4453200002511342, acc 0.84911, f1 0.41776, p 0.63500, r 0.31127
Iter 12700, task streusle, loss 2.379972569147746, acc 0.67629, f1 0.44528, p 0.50390, r 0.39888
