Iter 2790, task fnt, loss 0.6884794235229492
Iter 2800, task fnt, loss 0.7027561664581299
Iter 2810, task fnt, loss 0.6982850432395935
Iter 2820, task fnt, loss 0.664666473865509
Iter 2830, task fnt, loss 0.6761534810066223
Iter 2840, task fnt, loss 0.6576176881790161
Iter 2850, task fnt, loss 0.6898640394210815
Iter 2860, task fnt, loss 0.6839371919631958
Iter 2870, task fnt, loss 0.7066067457199097
Iter 2880, task fnt, loss 0.6808711290359497
Iter 2890, task fnt, loss 0.6973862051963806
Iter 2900, task fnt, loss 0.688861072063446
Iter 2910, task fnt, loss 0.6804693341255188
Iter 2920, task fnt, loss 0.6706585884094238
Iter 2930, task fnt, loss 0.6846892237663269
Iter 2940, task fnt, loss 0.6726678609848022
Iter 2950, task fnt, loss 0.6598224639892578
Iter 2960, task fnt, loss 0.6558529138565063
Iter 2970, task fnt, loss 0.6812739372253418
Iter 2980, task fnt, loss 0.6863744258880615
Iter 2990, task fnt, loss 0.6679041981697083
Iter 3000, task fnt, loss 0.6821593046188354
Iter 3010, task fnt, loss 0.6713711619377136
Iter 3020, task fnt, loss 0.6671643257141113
Iter 3030, task fnt, loss 0.6721367239952087
Iter 3040, task fnt, loss 0.6693979501724243
Iter 3050, task fnt, loss 0.6957613825798035
Iter 3060, task fnt, loss 0.6740001440048218
Iter 3070, task fnt, loss 0.677071750164032
Iter 3080, task fnt, loss 0.669267475605011
Iter 3090, task fnt, loss 0.6836143136024475
Iter 3100, task fnt, loss 0.6634842753410339
Iter 3110, task fnt, loss 0.6672224998474121
Iter 3120, task fnt, loss 0.6653479933738708
Iter 3130, task fnt, loss 0.7019580602645874
Iter 3140, task fnt, loss 0.6739474534988403
Iter 3150, task fnt, loss 0.6680704355239868
Iter 3160, task fnt, loss 0.6423516869544983
Iter 3170, task fnt, loss 0.6326794624328613
Iter 3180, task fnt, loss 0.6504085063934326
Iter 3190, task fnt, loss 0.6616776585578918
Iter 3200, task fnt, loss 0.6547966003417969
Iter 3210, task fnt, loss 0.6796150207519531
Iter 3220, task fnt, loss 0.6773229241371155
Iter 3230, task fnt, loss 0.6723045110702515
Iter 3240, task fnt, loss 0.642970085144043
Iter 3250, task fnt, loss 0.6618733406066895
Iter 3260, task fnt, loss 0.6521897315979004
Iter 3270, task fnt, loss 0.6677218675613403
Iter 3280, task fnt, loss 0.7017362117767334
Iter 3290, task fnt, loss 0.6097676157951355
Iter 3300, task fnt, loss 0.6530033349990845
Iter 3310, task fnt, loss 0.638809084892273
