Iter 3050, task ccg, loss 3.063798427581787
Iter 3060, task ccg, loss 2.999009370803833
Iter 3070, task ccg, loss 3.0870187282562256
Iter 3080, task ccg, loss 3.0876145362854004
Iter 3090, task ccg, loss 3.100395917892456
Iter 3100, task ccg, loss 3.1512131690979004
Iter 3110, task ccg, loss 3.1481359004974365
Iter 3120, task ccg, loss 2.996182680130005
Iter 3130, task ccg, loss 3.079848527908325
Iter 3140, task ccg, loss 2.993107318878174
Iter 3150, task ccg, loss 3.110891580581665
Iter 3160, task ccg, loss 2.992238759994507
Iter 3170, task ccg, loss 3.170116424560547
Iter 3180, task ccg, loss 3.1151957511901855
Iter 3190, task ccg, loss 3.035893201828003
Iter 3200, task ccg, loss 3.1192498207092285
Iter 3210, task ccg, loss 3.1493213176727295
Iter 3220, task ccg, loss 3.0885329246520996
Iter 3230, task ccg, loss 3.0021538734436035
Iter 3240, task ccg, loss 3.1094517707824707
Iter 3250, task ccg, loss 3.091008424758911
Iter 3260, task ccg, loss 3.1040596961975098
Iter 3270, task ccg, loss 2.962428569793701
Iter 3280, task ccg, loss 3.0982165336608887
Iter 3290, task ccg, loss 3.1914610862731934
Iter 3300, task ccg, loss 3.1337685585021973
Iter 3310, task ccg, loss 2.9567902088165283
Iter 3320, task ccg, loss 3.2118980884552
Iter 3330, task ccg, loss 3.0227551460266113
Iter 3340, task ccg, loss 3.1164157390594482
Iter 3350, task ccg, loss 2.9891915321350098
Iter 3360, task ccg, loss 3.0083167552948
Iter 3370, task ccg, loss 3.071521520614624
Iter 3380, task ccg, loss 3.112819194793701
Iter 3390, task ccg, loss 2.9695003032684326
Iter 3400, task ccg, loss 3.115187168121338
Iter 3410, task ccg, loss 3.102886199951172
Iter 3420, task ccg, loss 3.0499043464660645
Iter 3430, task ccg, loss 3.000701665878296
Iter 3440, task ccg, loss 3.0416998863220215
Iter 3450, task ccg, loss 2.9002342224121094
Iter 3460, task ccg, loss 3.0257840156555176
Iter 3470, task ccg, loss 3.1237406730651855
Iter 3480, task ccg, loss 3.001204013824463
Iter 3490, task ccg, loss 2.959834098815918
Iter 3500, task ccg, loss 3.0741231441497803
Iter 3510, task ccg, loss 3.0080199241638184
Iter 3520, task ccg, loss 2.994589328765869
