Iter 12600, task streusle, loss 1.407362159093221, acc 0.72194, f1 0.51904, p 0.55231, r 0.48955
Iter 12700, task streusle, loss 1.3950195074081422, acc 0.72316, f1 0.52045, p 0.55178, r 0.49249
Iter 12800, task streusle, loss 1.3833477735519408, acc 0.72332, f1 0.52101, p 0.55489, r 0.49102
Iter 12900, task streusle, loss 1.371453865369161, acc 0.72362, f1 0.52132, p 0.55522, r 0.49132
Iter 13000, task streusle, loss 1.3596103350321451, acc 0.72423, f1 0.52227, p 0.55438, r 0.49367
Iter 13100, task streusle, loss 1.3475356578826905, acc 0.72591, f1 0.52518, p 0.55836, r 0.49573
Iter 13200, task streusle, loss 1.3357896327972412, acc 0.72561, f1 0.52381, p 0.55563, r 0.49544
Iter 13300, task streusle, loss 1.3242767333984375, acc 0.72576, f1 0.52391, p 0.55622, r 0.49514
Iter 13400, task streusle, loss 1.313236618041992, acc 0.72591, f1 0.52434, p 0.55795, r 0.49455
Iter 13500, task streusle, loss 1.301573888460795, acc 0.72607, f1 0.52465, p 0.55603, r 0.49661
Iter 13600, task streusle, loss 1.2899718205134074, acc 0.72622, f1 0.52491, p 0.55334, r 0.49926
Iter 13700, task streusle, loss 1.2788429021835328, acc 0.72668, f1 0.52522, p 0.55548, r 0.49809
Iter 13800, task streusle, loss 1.2677244981129965, acc 0.72774, f1 0.52700, p 0.55911, r 0.49838
Iter 13900, task streusle, loss 1.2565409262975058, acc 0.72805, f1 0.52731, p 0.55577, r 0.50162
Iter 14000, task streusle, loss 1.2459745089213052, acc 0.72668, f1 0.52477, p 0.55743, r 0.49573
Iter 14100, task streusle, loss 1.234957766532898, acc 0.72942, f1 0.52989, p 0.56227, r 0.50103
Iter 14200, task streusle, loss 1.2237991253534952, acc 0.73004, f1 0.53047, p 0.55881, r 0.50486
Iter 14300, task streusle, loss 1.2134370485941568, acc 0.72820, f1 0.52748, p 0.55796, r 0.50015
Iter 14400, task streusle, loss 1.202853552500407, acc 0.72988, f1 0.53045, p 0.55841, r 0.50515
Iter 14500, task streusle, loss 1.1924233595530191, acc 0.73004, f1 0.53042, p 0.55944, r 0.50427
Iter 14600, task streusle, loss 1.1814308563868205, acc 0.73141, f1 0.53323, p 0.56279, r 0.50662
Iter 14700, task streusle, loss 1.171317982673645, acc 0.73202, f1 0.53418, p 0.56272, r 0.50839
Iter 14800, task streusle, loss 1.161274798711141, acc 0.73233, f1 0.53494, p 0.56189, r 0.51045
Iter 14900, task streusle, loss 1.1511576175689697, acc 0.73141, f1 0.53267, p 0.56191, r 0.50633
Iter 15000, task streusle, loss 1.1412920633951822, acc 0.73217, f1 0.53473, p 0.56216, r 0.50986
Iter 15100, task streusle, loss 1.131172251701355, acc 0.73263, f1 0.53459, p 0.56364, r 0.50839
Iter 15200, task streusle, loss 1.121368408203125, acc 0.73309, f1 0.53644, p 0.56414, r 0.51133
Iter 15300, task streusle, loss 1.1117868383725484, acc 0.73309, f1 0.53604, p 0.56614, r 0.50898
Iter 15400, task streusle, loss 1.1027570446332295, acc 0.73217, f1 0.53487, p 0.56607, r 0.50692
Iter 15500, task streusle, loss 1.092952267328898, acc 0.73370, f1 0.53755, p 0.56843, r 0.50986
Iter 15600, task streusle, loss 1.083366823196411, acc 0.73370, f1 0.53719, p 0.56580, r 0.51133
Iter 15700, task streusle, loss 1.0740293701489767, acc 0.73462, f1 0.53900, p 0.56693, r 0.51369
Iter 15800, task streusle, loss 1.0656305273373923, acc 0.73523, f1 0.53899, p 0.56798, r 0.51281
Iter 15900, task streusle, loss 1.0557487805684407, acc 0.73614, f1 0.54180, p 0.57027, r 0.51604
Iter 16000, task streusle, loss 1.0470724383989969, acc 0.73645, f1 0.54222, p 0.57120, r 0.51604
Iter 16100, task streusle, loss 1.0382793267567954, acc 0.73691, f1 0.54259, p 0.57129, r 0.51663
Iter 16200, task streusle, loss 1.0293005188306172, acc 0.73706, f1 0.54360, p 0.57353, r 0.51663
Iter 16300, task streusle, loss 1.0208248933156332, acc 0.73767, f1 0.54374, p 0.57134, r 0.51869
Iter 16400, task streusle, loss 1.0117254217465719, acc 0.73752, f1 0.54304, p 0.57050, r 0.51810
Iter 16500, task streusle, loss 1.003334605693817, acc 0.73691, f1 0.54201, p 0.56893, r 0.51752
Iter 16600, task streusle, loss 0.9948393185933431, acc 0.73859, f1 0.54498, p 0.57263, r 0.51987
