Iter 4830, task streusle, loss 2.5120692253112793
Iter 4840, task streusle, loss 2.483292579650879
Iter 4850, task streusle, loss 2.439145803451538
Iter 4860, task streusle, loss 2.5128791332244873
Iter 4870, task streusle, loss 2.432671070098877
Iter 4880, task streusle, loss 2.4072422981262207
Iter 4890, task streusle, loss 2.4691436290740967
Iter 4900, task streusle, loss 2.457688331604004
Iter 4910, task streusle, loss 2.4255194664001465
Iter 4920, task streusle, loss 2.418372631072998
Iter 4930, task streusle, loss 2.4480762481689453
Iter 4940, task streusle, loss 2.5241074562072754
Iter 4950, task streusle, loss 2.444028377532959
Iter 4960, task streusle, loss 2.4568121433258057
Iter 4970, task streusle, loss 2.457251787185669
Iter 4980, task streusle, loss 2.3963418006896973
Iter 4990, task streusle, loss 2.4815165996551514
Iter 5000, task streusle, loss 2.3527779579162598
Iter 5010, task streusle, loss 2.4869723320007324
Iter 5020, task streusle, loss 2.386967420578003
Iter 5030, task streusle, loss 2.4829299449920654
Iter 5040, task streusle, loss 2.473174571990967
Iter 5050, task streusle, loss 2.4215285778045654
Iter 5060, task streusle, loss 2.4034197330474854
Iter 5070, task streusle, loss 2.4445290565490723
Iter 5080, task streusle, loss 2.3791613578796387
Iter 5090, task streusle, loss 2.4063427448272705
Iter 5100, task streusle, loss 2.437934398651123
Iter 5110, task streusle, loss 2.3966188430786133
Iter 5120, task streusle, loss 2.4206910133361816
Iter 5130, task streusle, loss 2.4111857414245605
Iter 5140, task streusle, loss 2.4285173416137695
Iter 5150, task streusle, loss 2.4554286003112793
Iter 5160, task streusle, loss 2.44858455657959
Iter 5170, task streusle, loss 2.382915496826172
Iter 5180, task streusle, loss 2.395847797393799
Iter 5190, task streusle, loss 2.4268953800201416
Iter 5200, task streusle, loss 2.409029960632324
Iter 5210, task streusle, loss 2.4255547523498535
Iter 5220, task streusle, loss 2.4686832427978516
Iter 5230, task streusle, loss 2.3763833045959473
Iter 5240, task streusle, loss 2.4333863258361816
Iter 5250, task streusle, loss 2.3939759731292725
Iter 5260, task streusle, loss 2.386000871658325
Iter 5270, task streusle, loss 2.401031494140625
Iter 5280, task streusle, loss 2.360389232635498
Iter 5290, task streusle, loss 2.3952248096466064
Iter 5300, task streusle, loss 2.3725693225860596
Iter 5310, task streusle, loss 2.3356800079345703
Iter 5320, task streusle, loss 2.3760154247283936
Iter 5330, task streusle, loss 2.481113910675049
Iter 5340, task streusle, loss 2.371037721633911
Iter 5350, task streusle, loss 2.377631664276123
Iter 5360, task streusle, loss 2.3896591663360596
Iter 5370, task streusle, loss 2.340292453765869
Iter 5380, task streusle, loss 2.374434471130371
Iter 5390, task streusle, loss 2.3531527519226074
Iter 5400, task streusle, loss 2.3610610961914062
Iter 5410, task streusle, loss 2.382812976837158
Iter 5420, task streusle, loss 2.3742318153381348
Iter 5430, task streusle, loss 2.439634323120117
Iter 5440, task streusle, loss 2.40962553024292
Iter 5450, task streusle, loss 2.3813958168029785
Iter 5460, task streusle, loss 2.3267624378204346
Iter 5470, task streusle, loss 2.4032797813415527
Iter 5480, task streusle, loss 2.3685097694396973
Iter 5490, task streusle, loss 2.305819272994995
Iter 5500, task streusle, loss 2.3390841484069824
Iter 5510, task streusle, loss 2.349381685256958
Iter 5520, task streusle, loss 2.357348680496216
Iter 5530, task streusle, loss 2.3999509811401367
Iter 5540, task streusle, loss 2.338902235031128
Iter 5550, task streusle, loss 2.3036394119262695
Iter 5560, task streusle, loss 2.285130739212036
Iter 5570, task streusle, loss 2.3267769813537598
Iter 5580, task streusle, loss 2.3544974327087402
Iter 5590, task streusle, loss 2.3165218830108643
Iter 5600, task streusle, loss 2.322932004928589
Iter 5610, task streusle, loss 2.362025737762451
Iter 5620, task streusle, loss 2.2924022674560547
Iter 5630, task streusle, loss 2.394911289215088
Iter 5640, task streusle, loss 2.306741237640381
Iter 5650, task streusle, loss 2.3067069053649902
Iter 5660, task streusle, loss 2.4034953117370605
Iter 5670, task streusle, loss 2.3427112102508545
Iter 5680, task streusle, loss 2.284640312194824
Iter 5690, task streusle, loss 2.2813544273376465
Iter 5700, task streusle, loss 2.408621311187744
Iter 5710, task streusle, loss 2.3406641483306885
Iter 5720, task streusle, loss 2.363292694091797
Iter 5730, task streusle, loss 2.3496761322021484
Iter 5740, task streusle, loss 2.278869152069092
Iter 5750, task streusle, loss 2.3865580558776855
Iter 5760, task streusle, loss 2.2855427265167236
Iter 5770, task streusle, loss 2.3228602409362793
Iter 5780, task streusle, loss 2.307999849319458
Iter 5790, task streusle, loss 2.308563709259033
Iter 5800, task streusle, loss 2.371588945388794
Iter 5810, task streusle, loss 2.2807772159576416
Iter 5820, task streusle, loss 2.2481300830841064
Iter 5830, task streusle, loss 2.3149313926696777
Iter 5840, task streusle, loss 2.268153190612793
Iter 5850, task streusle, loss 2.2919108867645264
Iter 5860, task streusle, loss 2.2900054454803467
Iter 5870, task streusle, loss 2.312469482421875
Iter 5880, task streusle, loss 2.3220572471618652
Iter 5890, task streusle, loss 2.271364212036133
Iter 5900, task streusle, loss 2.3133270740509033
Iter 5910, task streusle, loss 2.3045852184295654
Iter 5920, task streusle, loss 2.2682909965515137
Iter 5930, task streusle, loss 2.295206069946289
Iter 5940, task streusle, loss 2.28115177154541
Iter 5950, task streusle, loss 2.333838701248169
Iter 5960, task streusle, loss 2.2036755084991455
Iter 5970, task streusle, loss 2.356173038482666
Iter 5980, task streusle, loss 2.3213274478912354
