Iter 5200, task com, loss 0.6146975557009379, acc 0.82949, f1 0.26321, p 0.63721, r 0.16586
Iter 5300, task streusle, loss 2.8623576958974204, acc 0.57703, f1 0.27594, p 0.37807, r 0.21725
Iter 5300, task com, loss 0.6127666632334391, acc 0.82949, f1 0.26462, p 0.63594, r 0.16707
Iter 5400, task streusle, loss 2.853381538391113, acc 0.57902, f1 0.27940, p 0.38394, r 0.21961
Iter 5400, task com, loss 0.6109541555245718, acc 0.82839, f1 0.25194, p 0.63107, r 0.15738
Iter 5500, task streusle, loss 2.8440548261006673, acc 0.58146, f1 0.28428, p 0.38711, r 0.22461
Iter 5500, task com, loss 0.6091544131437937, acc 0.82729, f1 0.24195, p 0.62312, r 0.15012
Iter 5600, task streusle, loss 2.8350322882334393, acc 0.58238, f1 0.28609, p 0.38685, r 0.22696
Iter 5600, task com, loss 0.6072254876295725, acc 0.82839, f1 0.25338, p 0.62981, r 0.15860
Iter 5700, task streusle, loss 2.8256086349487304, acc 0.58559, f1 0.29260, p 0.39028, r 0.23403
Iter 5700, task com, loss 0.6068414648373922, acc 0.83191, f1 0.30387, p 0.63462, r 0.19976
Iter 5800, task streusle, loss 2.8160080432891847, acc 0.58559, f1 0.29143, p 0.38143, r 0.23580
Iter 5800, task com, loss 0.6038985451062521, acc 0.82905, f1 0.25844, p 0.63507, r 0.16223
Iter 5900, task streusle, loss 2.807149330774943, acc 0.58910, f1 0.29662, p 0.38765, r 0.24021
Iter 5900, task com, loss 0.6023272971312205, acc 0.83059, f1 0.28249, p 0.63559, r 0.18160
Iter 6000, task streusle, loss 2.797038952509562, acc 0.59139, f1 0.30126, p 0.39663, r 0.24286
Iter 6000, task com, loss 0.6006068090597788, acc 0.83147, f1 0.28083, p 0.64912, r 0.17918
Iter 6100, task streusle, loss 2.7880303859710693, acc 0.59215, f1 0.30295, p 0.39397, r 0.24610
Iter 6100, task com, loss 0.5989215870698293, acc 0.83103, f1 0.27177, p 0.64840, r 0.17191
Iter 6200, task streusle, loss 2.779448620478312, acc 0.59475, f1 0.30741, p 0.40152, r 0.24904
Iter 6200, task com, loss 0.5974415242671967, acc 0.83191, f1 0.28786, p 0.64557, r 0.18523
Iter 6300, task streusle, loss 2.7699732621510824, acc 0.59643, f1 0.30928, p 0.40103, r 0.25169
Iter 6300, task com, loss 0.5959707101186117, acc 0.83191, f1 0.28652, p 0.64681, r 0.18402
Iter 6400, task streusle, loss 2.761337232589722, acc 0.59841, f1 0.31375, p 0.40268, r 0.25699
Iter 6400, task com, loss 0.5941654642422994, acc 0.83191, f1 0.27836, p 0.65471, r 0.17676
Iter 6500, task streusle, loss 2.7523477554321287, acc 0.59856, f1 0.31388, p 0.40239, r 0.25729
Iter 6500, task com, loss 0.5928273399670919, acc 0.83125, f1 0.29104, p 0.63415, r 0.18886
Iter 6600, task streusle, loss 2.74218168258667, acc 0.60192, f1 0.31986, p 0.40214, r 0.26553
Iter 6600, task com, loss 0.5913664301236471, acc 0.83103, f1 0.26756, p 0.65258, r 0.16828
Iter 6700, task streusle, loss 2.7329370021820067, acc 0.60406, f1 0.32274, p 0.40998, r 0.26612
Iter 6700, task com, loss 0.5898908277352651, acc 0.83300, f1 0.29851, p 0.65041, r 0.19370
Iter 6800, task streusle, loss 2.7247110684712728, acc 0.60498, f1 0.32443, p 0.40647, r 0.26994
Iter 6800, task com, loss 0.5881076157093048, acc 0.83278, f1 0.29296, p 0.65272, r 0.18886
Iter 6900, task streusle, loss 2.714934317270915, acc 0.60803, f1 0.33096, p 0.41835, r 0.27377
Iter 6900, task com, loss 0.5869135558605194, acc 0.83300, f1 0.29323, p 0.65546, r 0.18886
Iter 7000, task streusle, loss 2.705904738108317, acc 0.61261, f1 0.33958, p 0.42466, r 0.28290
Iter 7000, task com, loss 0.5853507171074549, acc 0.83256, f1 0.29664, p 0.64634, r 0.19249
Iter 7100, task streusle, loss 2.696440092722575, acc 0.61231, f1 0.33725, p 0.41681, r 0.28319
Iter 7100, task com, loss 0.5839466402928034, acc 0.83278, f1 0.29692, p 0.64898, r 0.19249
Iter 7200, task streusle, loss 2.689212942123413, acc 0.61414, f1 0.34139, p 0.42117, r 0.28702
Iter 7200, task com, loss 0.5822353760401408, acc 0.83169, f1 0.27810, p 0.65179, r 0.17676
Iter 7300, task streusle, loss 2.6814404646555583, acc 0.61826, f1 0.34973, p 0.43585, r 0.29202
Iter 7300, task com, loss 0.5806590467691422, acc 0.83344, f1 0.29775, p 0.65702, r 0.19249
Iter 7400, task streusle, loss 2.6725338617960612, acc 0.61887, f1 0.35082, p 0.43860, r 0.29232
Iter 7400, task com, loss 0.5794447412093481, acc 0.83300, f1 0.28517, p 0.66372, r 0.18160
Iter 7500, task streusle, loss 2.6637900988260905, acc 0.61964, f1 0.35097, p 0.42948, r 0.29673
Iter 7500, task com, loss 0.5780694683392843, acc 0.83388, f1 0.30224, p 0.65854, r 0.19613
Iter 7600, task streusle, loss 2.6563530921936036, acc 0.62239, f1 0.35667, p 0.43979, r 0.29997
Iter 7600, task com, loss 0.5764671713113785, acc 0.83344, f1 0.29775, p 0.65702, r 0.19249
Iter 7700, task streusle, loss 2.6471534252166746, acc 0.62406, f1 0.36001, p 0.44425, r 0.30262
Iter 7700, task com, loss 0.5750815868377686, acc 0.83388, f1 0.30612, p 0.65476, r 0.19976
Iter 7800, task streusle, loss 2.6400155544281008, acc 0.62559, f1 0.36234, p 0.44317, r 0.30645
Iter 7800, task com, loss 0.5732592990001043, acc 0.83344, f1 0.29907, p 0.65574, r 0.19370
Iter 7900, task streusle, loss 2.632782808939616, acc 0.62773, f1 0.36654, p 0.44775, r 0.31027
Iter 7900, task com, loss 0.5721617291371027, acc 0.83388, f1 0.32369, p 0.63929, r 0.21671
