Iter 6900, task hyperlinks, loss 0.5476947327454885, acc 0.84911, f1 0.37522, p 0.67516, r 0.25980
Iter 7000, task gpos, loss 1.4516216119130452, acc 0.75121, f1 0.75320, p 0.75519, r 0.75121
Iter 7000, task hyperlinks, loss 0.5464119712511698, acc 0.84996, f1 0.35596, p 0.70803, r 0.23775
Iter 7100, task gpos, loss 1.4426358064015707, acc 0.75399, f1 0.75582, p 0.75766, r 0.75399
Iter 7100, task hyperlinks, loss 0.5484089354674021, acc 0.84700, f1 0.36972, p 0.65625, r 0.25735
Iter 7200, task gpos, loss 1.4331489324569702, acc 0.75780, f1 0.75964, p 0.76148, r 0.75780
Iter 7200, task hyperlinks, loss 0.5437801678975424, acc 0.84996, f1 0.35596, p 0.70803, r 0.23775
Iter 7300, task gpos, loss 1.4241555372873942, acc 0.75941, f1 0.76131, p 0.76322, r 0.75941
Iter 7300, task hyperlinks, loss 0.542802075544993, acc 0.84954, f1 0.35294, p 0.70588, r 0.23529
Iter 7400, task gpos, loss 1.4168577035268148, acc 0.76000, f1 0.76179, p 0.76358, r 0.76000
Iter 7400, task hyperlinks, loss 0.5427817304929098, acc 0.84784, f1 0.32061, p 0.72414, r 0.20588
Iter 7500, task gpos, loss 1.4089994510014852, acc 0.76352, f1 0.76525, p 0.76700, r 0.76352
Iter 7500, task hyperlinks, loss 0.540483703215917, acc 0.84911, f1 0.33771, p 0.72000, r 0.22059
Iter 7600, task gpos, loss 1.4018433809280395, acc 0.76396, f1 0.76569, p 0.76744, r 0.76396
Iter 7600, task hyperlinks, loss 0.5415387948354086, acc 0.84827, f1 0.31068, p 0.74766, r 0.19608
Iter 7700, task gpos, loss 1.3941303888956706, acc 0.76571, f1 0.76746, p 0.76921, r 0.76571
Iter 7700, task hyperlinks, loss 0.5424290001392365, acc 0.85038, f1 0.38596, p 0.67901, r 0.26961
Iter 7800, task gpos, loss 1.3859038670857748, acc 0.76601, f1 0.76764, p 0.76928, r 0.76601
Iter 7800, task hyperlinks, loss 0.5403026342391968, acc 0.85038, f1 0.36364, p 0.70423, r 0.24510
Iter 7900, task gpos, loss 1.378061087926229, acc 0.76747, f1 0.76905, p 0.77063, r 0.76747
Iter 7900, task hyperlinks, loss 0.5379483302434286, acc 0.85080, f1 0.36197, p 0.71223, r 0.24265
Iter 8000, task gpos, loss 1.3692687273025512, acc 0.76894, f1 0.77052, p 0.77211, r 0.76894
Iter 8000, task hyperlinks, loss 0.5383968353271484, acc 0.85123, f1 0.35556, p 0.72727, r 0.23529
Iter 8100, task gpos, loss 1.3629406134287516, acc 0.76996, f1 0.77155, p 0.77314, r 0.76996
Iter 8100, task hyperlinks, loss 0.5378764867782593, acc 0.85038, f1 0.37943, p 0.68590, r 0.26225
Iter 8200, task gpos, loss 1.3560720364252725, acc 0.77172, f1 0.77331, p 0.77490, r 0.77172
Iter 8200, task hyperlinks, loss 0.5358259081840515, acc 0.85123, f1 0.36727, p 0.71127, r 0.24755
Iter 8300, task gpos, loss 1.3496995051701863, acc 0.77070, f1 0.77228, p 0.77387, r 0.77070
Iter 8300, task hyperlinks, loss 0.5354820688565572, acc 0.85080, f1 0.34766, p 0.73228, r 0.22794
Iter 8400, task gpos, loss 1.3440907319386801, acc 0.77407, f1 0.77566, p 0.77725, r 0.77407
Iter 8400, task hyperlinks, loss 0.5354213714599609, acc 0.85418, f1 0.41308, p 0.69364, r 0.29412
Iter 8500, task gpos, loss 1.3355552434921265, acc 0.77582, f1 0.77742, p 0.77902, r 0.77582
Iter 8500, task hyperlinks, loss 0.532368948062261, acc 0.85376, f1 0.38929, p 0.71711, r 0.26716
Iter 8600, task gpos, loss 1.3291631619135538, acc 0.77890, f1 0.78044, p 0.78199, r 0.77890
Iter 8600, task hyperlinks, loss 0.5319314499696096, acc 0.85249, f1 0.37387, p 0.72028, r 0.25245
Iter 8700, task gpos, loss 1.3224764347076416, acc 0.77890, f1 0.78044, p 0.78199, r 0.77890
Iter 8700, task hyperlinks, loss 0.5312364101409912, acc 0.85207, f1 0.35926, p 0.73485, r 0.23775
Iter 8800, task gpos, loss 1.316187826792399, acc 0.77905, f1 0.78059, p 0.78214, r 0.77905
Iter 8800, task hyperlinks, loss 0.5334625840187073, acc 0.84911, f1 0.41265, p 0.64249, r 0.30392
Iter 8900, task gpos, loss 1.3085609038670858, acc 0.78271, f1 0.78426, p 0.78582, r 0.78271
Iter 8900, task hyperlinks, loss 0.5311610400676727, acc 0.85165, f1 0.35140, p 0.74016, r 0.23039
Iter 9000, task gpos, loss 1.3008256753285725, acc 0.78227, f1 0.78382, p 0.78538, r 0.78227
Iter 9000, task hyperlinks, loss 0.5306794842084249, acc 0.85292, f1 0.37681, p 0.72222, r 0.25490
Iter 9100, task gpos, loss 1.2938802003860475, acc 0.78432, f1 0.78588, p 0.78744, r 0.78432
Iter 9100, task hyperlinks, loss 0.5309127469857534, acc 0.85292, f1 0.39153, p 0.69811, r 0.27206
Iter 9200, task gpos, loss 1.2869573513666788, acc 0.78447, f1 0.78602, p 0.78758, r 0.78447
Iter 9200, task hyperlinks, loss 0.5296447177728018, acc 0.85418, f1 0.38929, p 0.71711, r 0.26716
Iter 9300, task gpos, loss 1.2813077529271444, acc 0.78799, f1 0.78955, p 0.79112, r 0.78799
Iter 9300, task hyperlinks, loss 0.528516153494517, acc 0.85249, f1 0.37319, p 0.71528, r 0.25245
Iter 9400, task gpos, loss 1.274929658571879, acc 0.78608, f1 0.78764, p 0.78920, r 0.78608
