Iter 9900, task hyperlinks, loss 0.49139780799547833, acc 0.85334, f1 0.38351, p 0.71333, r 0.26225
Iter 10000, task com, loss 0.5742136836051941, acc 0.83410, f1 0.29851, p 0.65041, r 0.19370
Iter 10000, task hyperlinks, loss 0.4915841519832611, acc 0.85249, f1 0.39931, p 0.68452, r 0.28186
Iter 10100, task com, loss 0.5732529213031133, acc 0.83344, f1 0.30056, p 0.64286, r 0.19613
Iter 10100, task hyperlinks, loss 0.4909006953239441, acc 0.84954, f1 0.33771, p 0.72000, r 0.22059
Iter 10200, task com, loss 0.5724096447229385, acc 0.83388, f1 0.32496, p 0.62847, r 0.21913
Iter 10200, task hyperlinks, loss 0.4904908736546834, acc 0.84996, f1 0.36000, p 0.69718, r 0.24265
Iter 10300, task com, loss 0.5705419778823853, acc 0.83520, f1 0.31531, p 0.64906, r 0.20823
Iter 10300, task hyperlinks, loss 0.48977741599082947, acc 0.85038, f1 0.33585, p 0.72951, r 0.21814
Iter 10400, task com, loss 0.5693121701478958, acc 0.83432, f1 0.31164, p 0.64151, r 0.20581
Iter 10400, task hyperlinks, loss 0.48883430163065594, acc 0.84700, f1 0.35714, p 0.65789, r 0.24510
Iter 10500, task com, loss 0.5678068101406097, acc 0.83476, f1 0.30584, p 0.65217, r 0.19976
Iter 10500, task hyperlinks, loss 0.48875348766644794, acc 0.84996, f1 0.38179, p 0.66871, r 0.26716
Iter 10600, task com, loss 0.5664098411798477, acc 0.83454, f1 0.30939, p 0.64615, r 0.20339
Iter 10600, task hyperlinks, loss 0.4864253103733063, acc 0.85165, f1 0.35793, p 0.72388, r 0.23775
Iter 10700, task com, loss 0.5651295234759649, acc 0.83564, f1 0.31589, p 0.65399, r 0.20823
Iter 10700, task hyperlinks, loss 0.48602501551310223, acc 0.85207, f1 0.40886, p 0.67039, r 0.29412
Iter 10800, task com, loss 0.5651231954495112, acc 0.83674, f1 0.34397, p 0.64238, r 0.23487
Iter 10800, task hyperlinks, loss 0.4841335316499074, acc 0.85165, f1 0.37567, p 0.69536, r 0.25735
Iter 10900, task com, loss 0.5628401090701421, acc 0.83630, f1 0.32051, p 0.65789, r 0.21186
Iter 10900, task hyperlinks, loss 0.4838479657967885, acc 0.85249, f1 0.39652, p 0.68263, r 0.27941
Iter 11000, task com, loss 0.5620244344075521, acc 0.83564, f1 0.30826, p 0.66135, r 0.20097
Iter 11000, task hyperlinks, loss 0.48287474115689594, acc 0.85165, f1 0.38011, p 0.69032, r 0.26225
Iter 11100, task com, loss 0.561001847187678, acc 0.83608, f1 0.32760, p 0.64875, r 0.21913
Iter 11100, task hyperlinks, loss 0.48191848397254944, acc 0.85249, f1 0.37702, p 0.70470, r 0.25735
Iter 11200, task com, loss 0.5596860647201538, acc 0.83542, f1 0.30019, p 0.66667, r 0.19370
Iter 11200, task hyperlinks, loss 0.4806210498015086, acc 0.85165, f1 0.37343, p 0.69799, r 0.25490
Iter 11300, task com, loss 0.5582283288240433, acc 0.83564, f1 0.31589, p 0.65399, r 0.20823
Iter 11300, task hyperlinks, loss 0.48153043786684674, acc 0.84996, f1 0.36166, p 0.68966, r 0.24510
Iter 11400, task com, loss 0.5574299991130829, acc 0.83586, f1 0.33333, p 0.64138, r 0.22518
Iter 11400, task hyperlinks, loss 0.4800958236058553, acc 0.85292, f1 0.38869, p 0.69620, r 0.26961
Iter 11500, task com, loss 0.5558728079001108, acc 0.83520, f1 0.32398, p 0.64158, r 0.21671
Iter 11500, task hyperlinks, loss 0.4814128677050273, acc 0.85165, f1 0.42314, p 0.64975, r 0.31373
Iter 11600, task com, loss 0.5548133254051208, acc 0.83564, f1 0.32579, p 0.64516, r 0.21792
Iter 11600, task hyperlinks, loss 0.4779341220855713, acc 0.85123, f1 0.37050, p 0.69595, r 0.25245
Iter 11700, task com, loss 0.5537334233522415, acc 0.83674, f1 0.31608, p 0.66797, r 0.20702
Iter 11700, task hyperlinks, loss 0.4784308473269145, acc 0.85249, f1 0.35622, p 0.73282, r 0.23529
Iter 11800, task com, loss 0.5523849179347357, acc 0.83542, f1 0.33034, p 0.63889, r 0.22276
Iter 11800, task hyperlinks, loss 0.47867314020792645, acc 0.85207, f1 0.41216, p 0.66304, r 0.29902
Iter 11900, task com, loss 0.5510370781024297, acc 0.83586, f1 0.32973, p 0.64437, r 0.22155
Iter 11900, task hyperlinks, loss 0.4763061503569285, acc 0.85461, f1 0.41638, p 0.68539, r 0.29902
Iter 12000, task com, loss 0.5496574987967809, acc 0.83586, f1 0.33214, p 0.64236, r 0.22397
Iter 12000, task hyperlinks, loss 0.47542200485865277, acc 0.85503, f1 0.41638, p 0.68539, r 0.29902
Iter 12100, task com, loss 0.5486800620953242, acc 0.83542, f1 0.31810, p 0.64925, r 0.21065
Iter 12100, task hyperlinks, loss 0.47581878304481506, acc 0.85123, f1 0.36918, p 0.68667, r 0.25245
Iter 12200, task com, loss 0.5476653973261515, acc 0.83586, f1 0.33094, p 0.64336, r 0.22276
Iter 12200, task hyperlinks, loss 0.4755491614341736, acc 0.85123, f1 0.36984, p 0.69128, r 0.25245
Iter 12300, task com, loss 0.5468799471855164, acc 0.83586, f1 0.34276, p 0.63399, r 0.23487
Iter 12300, task hyperlinks, loss 0.4739093979199727, acc 0.85461, f1 0.41237, p 0.68966, r 0.29412
Iter 12400, task com, loss 0.5456505368153254, acc 0.83542, f1 0.33274, p 0.63699, r 0.22518
Iter 12400, task hyperlinks, loss 0.4745845099290212, acc 0.85165, f1 0.41930, p 0.65285, r 0.30882
Iter 12500, task com, loss 0.544082244237264, acc 0.83520, f1 0.33600, p 0.63211, r 0.22881
Iter 12500, task hyperlinks, loss 0.4730151395003001, acc 0.85461, f1 0.41096, p 0.68182, r 0.29412
Iter 12600, task com, loss 0.5430984199047089, acc 0.83520, f1 0.33600, p 0.63211, r 0.22881
Iter 12600, task hyperlinks, loss 0.47162801027297974, acc 0.85587, f1 0.39859, p 0.71069, r 0.27696
Iter 12700, task com, loss 0.5418070058027903, acc 0.83454, f1 0.33511, p 0.62583, r 0.22881
Iter 12700, task hyperlinks, loss 0.47351813316345215, acc 0.85292, f1 0.40411, p 0.67045, r 0.28922
Iter 12800, task com, loss 0.5408227890729904, acc 0.83586, f1 0.34851, p 0.62975, r 0.24092
Iter 12800, task hyperlinks, loss 0.47292860349019367, acc 0.85249, f1 0.38011, p 0.69032, r 0.26225
Iter 12900, task com, loss 0.5392486900091171, acc 0.83608, f1 0.32638, p 0.64982, r 0.21792
