Iter 13500, task semcor, loss 1.041123516687942, acc 0.78065, f1 0.57766, p 0.58778, r 0.56788
Iter 13600, task semcor, loss 1.0345129085623699, acc 0.78130, f1 0.57883, p 0.58891, r 0.56909
Iter 13700, task semcor, loss 1.0277242924609293, acc 0.78122, f1 0.57851, p 0.58875, r 0.56863
Iter 13800, task semcor, loss 1.0212488719888848, acc 0.78195, f1 0.58036, p 0.59255, r 0.56866
Iter 13900, task semcor, loss 1.014483133828418, acc 0.78238, f1 0.58037, p 0.58935, r 0.57166
Iter 14000, task semcor, loss 1.0081873875473844, acc 0.78304, f1 0.58201, p 0.59164, r 0.57270
Iter 14100, task semcor, loss 1.0015849615476147, acc 0.78344, f1 0.58270, p 0.59299, r 0.57276
Iter 14200, task semcor, loss 0.9951977992650145, acc 0.78380, f1 0.58324, p 0.59319, r 0.57361
Iter 14300, task semcor, loss 0.9887409371865709, acc 0.78441, f1 0.58411, p 0.59247, r 0.57598
Iter 14400, task semcor, loss 0.9826478835958872, acc 0.78428, f1 0.58501, p 0.59611, r 0.57431
Iter 14500, task semcor, loss 0.9761163045654139, acc 0.78530, f1 0.58599, p 0.59562, r 0.57668
Iter 14600, task semcor, loss 0.9700313120401671, acc 0.78585, f1 0.58723, p 0.59671, r 0.57804
Iter 14700, task semcor, loss 0.9636356950299834, acc 0.78613, f1 0.58784, p 0.59735, r 0.57862
Iter 14800, task semcor, loss 0.9575664808291086, acc 0.78648, f1 0.58830, p 0.59405, r 0.58265
Iter 14900, task semcor, loss 0.9514409826902622, acc 0.78730, f1 0.58971, p 0.59818, r 0.58147
Iter 15000, task semcor, loss 0.9453922306528743, acc 0.78763, f1 0.59008, p 0.59861, r 0.58180
Iter 15100, task semcor, loss 0.9392855330283597, acc 0.78760, f1 0.59043, p 0.60082, r 0.58040
Iter 15200, task semcor, loss 0.9334386160161431, acc 0.78803, f1 0.59097, p 0.59828, r 0.58384
Iter 15300, task semcor, loss 0.9275198857729973, acc 0.78874, f1 0.59256, p 0.60335, r 0.58215
Iter 15400, task semcor, loss 0.9214801441561855, acc 0.78894, f1 0.59324, p 0.60274, r 0.58404
Iter 15500, task semcor, loss 0.9155954229905738, acc 0.78940, f1 0.59387, p 0.60292, r 0.58510
Iter 15600, task semcor, loss 0.9096955663175563, acc 0.78958, f1 0.59451, p 0.60373, r 0.58556
Iter 15700, task semcor, loss 0.9038445805170521, acc 0.79064, f1 0.59633, p 0.60387, r 0.58899
Iter 15800, task semcor, loss 0.8982682442813186, acc 0.79045, f1 0.59560, p 0.60463, r 0.58684
Iter 15900, task semcor, loss 0.8925753277774676, acc 0.79127, f1 0.59741, p 0.60586, r 0.58919
Iter 16000, task semcor, loss 0.8868027976087408, acc 0.79155, f1 0.59746, p 0.60539, r 0.58973
Iter 16100, task semcor, loss 0.8812493122882724, acc 0.79172, f1 0.59812, p 0.60769, r 0.58885
Iter 16200, task semcor, loss 0.8757390268841145, acc 0.79216, f1 0.59873, p 0.60719, r 0.59051
Iter 16300, task semcor, loss 0.8703223975302022, acc 0.79228, f1 0.59873, p 0.60606, r 0.59158
Iter 16400, task semcor, loss 0.8648448602506587, acc 0.79346, f1 0.60150, p 0.60846, r 0.59470
Iter 16500, task semcor, loss 0.8592866778867339, acc 0.79341, f1 0.60127, p 0.60888, r 0.59385
Iter 16600, task semcor, loss 0.8541995047535709, acc 0.79345, f1 0.60098, p 0.60977, r 0.59243
Iter 16700, task semcor, loss 0.8488120632882444, acc 0.79394, f1 0.60318, p 0.61480, r 0.59198
Iter 16800, task semcor, loss 0.8433593586858509, acc 0.79446, f1 0.60344, p 0.61148, r 0.59561
Iter 16900, task semcor, loss 0.8381284251963377, acc 0.79439, f1 0.60315, p 0.60999, r 0.59646
Iter 17000, task semcor, loss 0.8330424278666021, acc 0.79498, f1 0.60452, p 0.61404, r 0.59530
Iter 17100, task semcor, loss 0.8279717969351427, acc 0.79515, f1 0.60493, p 0.61411, r 0.59602
Iter 17200, task semcor, loss 0.8226481715591304, acc 0.79583, f1 0.60653, p 0.61477, r 0.59850
Iter 17300, task semcor, loss 0.8175850210722929, acc 0.79616, f1 0.60656, p 0.61482, r 0.59852
Iter 17400, task semcor, loss 0.8126842398080767, acc 0.79685, f1 0.60775, p 0.61489, r 0.60077
Iter 17500, task semcor, loss 0.8075966018080465, acc 0.79669, f1 0.60762, p 0.61471, r 0.60070
Iter 17600, task semcor, loss 0.8026678094459123, acc 0.79710, f1 0.60851, p 0.61738, r 0.59989
Iter 17700, task semcor, loss 0.7976518948379264, acc 0.79729, f1 0.60904, p 0.61819, r 0.60016
