Iter 5070, task semcor, loss 1.8187793493270874
Iter 5080, task semcor, loss 1.7481927871704102
Iter 5090, task semcor, loss 1.7663530111312866
Iter 5100, task semcor, loss 1.8760143518447876
Iter 5110, task semcor, loss 1.7814306020736694
Iter 5120, task semcor, loss 1.7343899011611938
Iter 5130, task semcor, loss 1.7596473693847656
Iter 5140, task semcor, loss 1.7253297567367554
Iter 5150, task semcor, loss 1.7711225748062134
Iter 5160, task semcor, loss 1.786346673965454
Iter 5170, task semcor, loss 1.7710561752319336
Iter 5180, task semcor, loss 1.7664659023284912
Iter 5190, task semcor, loss 1.7306934595108032
Iter 5200, task semcor, loss 1.7381184101104736
Iter 5210, task semcor, loss 1.7968504428863525
Iter 5220, task semcor, loss 1.820810079574585
Iter 5230, task semcor, loss 1.7247298955917358
Iter 5240, task semcor, loss 1.7715587615966797
Iter 5250, task semcor, loss 1.724292516708374
Iter 5260, task semcor, loss 1.7750381231307983
Iter 5270, task semcor, loss 1.7555758953094482
Iter 5280, task semcor, loss 1.6910889148712158
Iter 5290, task semcor, loss 1.742742896080017
Iter 5300, task semcor, loss 1.7518749237060547
Iter 5310, task semcor, loss 1.755677580833435
Iter 5320, task semcor, loss 1.7697426080703735
Iter 5330, task semcor, loss 1.7167646884918213
Iter 5340, task semcor, loss 1.7629667520523071
Iter 5350, task semcor, loss 1.779388427734375
Iter 5360, task semcor, loss 1.6963834762573242
Iter 5370, task semcor, loss 1.6619148254394531
Iter 5380, task semcor, loss 1.7522598505020142
Iter 5390, task semcor, loss 1.748495101928711
Iter 5400, task semcor, loss 1.8097474575042725
Iter 5410, task semcor, loss 1.8102960586547852
Iter 5420, task semcor, loss 1.7290027141571045
Iter 5430, task semcor, loss 1.7016122341156006
Iter 5440, task semcor, loss 1.6890361309051514
Iter 5450, task semcor, loss 1.7394548654556274
Iter 5460, task semcor, loss 1.7666393518447876
Iter 5470, task semcor, loss 1.7175191640853882
Iter 5480, task semcor, loss 1.7011016607284546
Iter 5490, task semcor, loss 1.7554887533187866
Iter 5500, task semcor, loss 1.729630708694458
Iter 5510, task semcor, loss 1.7647218704223633
Iter 5520, task semcor, loss 1.706791877746582
Iter 5530, task semcor, loss 1.7298643589019775
Iter 5540, task semcor, loss 1.7119966745376587
Iter 5550, task semcor, loss 1.6970252990722656
Iter 5560, task semcor, loss 1.7651304006576538
Iter 5570, task semcor, loss 1.7402236461639404
Iter 5580, task semcor, loss 1.7758411169052124
Iter 5590, task semcor, loss 1.7007782459259033
Iter 5600, task semcor, loss 1.7178186178207397
Iter 5610, task semcor, loss 1.7705291509628296
Iter 5620, task semcor, loss 1.7276289463043213
Iter 5630, task semcor, loss 1.6467880010604858
Iter 5640, task semcor, loss 1.651757001876831
Iter 5650, task semcor, loss 1.7047507762908936
Iter 5660, task semcor, loss 1.7336246967315674
Iter 5670, task semcor, loss 1.752091646194458
Iter 5680, task semcor, loss 1.7553203105926514
Iter 5690, task semcor, loss 1.71488356590271
Iter 5700, task semcor, loss 1.7424920797348022
Iter 5710, task semcor, loss 1.657052993774414
Iter 5720, task semcor, loss 1.7162580490112305
Iter 5730, task semcor, loss 1.6945205926895142
Iter 5740, task semcor, loss 1.7671566009521484
Iter 5750, task semcor, loss 1.7102829217910767
Iter 5760, task semcor, loss 1.7079910039901733
Iter 5770, task semcor, loss 1.721200942993164
Iter 5780, task semcor, loss 1.7079317569732666
Iter 5790, task semcor, loss 1.6501744985580444
Iter 5800, task semcor, loss 1.6714541912078857
Iter 5810, task semcor, loss 1.6992321014404297
Iter 5820, task semcor, loss 1.7018053531646729
Iter 5830, task semcor, loss 1.6886374950408936
Iter 5840, task semcor, loss 1.6831544637680054
Iter 5850, task semcor, loss 1.6968872547149658
Iter 5860, task semcor, loss 1.5888621807098389
Iter 5870, task semcor, loss 1.6402915716171265
Iter 5880, task semcor, loss 1.6403461694717407
Iter 5890, task semcor, loss 1.7260210514068604
Iter 5900, task semcor, loss 1.7126185894012451
Iter 5910, task semcor, loss 1.6397393941879272
Iter 5920, task semcor, loss 1.6219289302825928
Iter 5930, task semcor, loss 1.6572307348251343
Iter 5940, task semcor, loss 1.704858422279358
Iter 5950, task semcor, loss 1.7137136459350586
Iter 5960, task semcor, loss 1.64815354347229
