Iter 17600, task mwe, loss 0.27695561945438385, acc 0.84486, f1 0.34389, p 0.55622, r 0.24888
Iter 17700, task mwe, loss 0.276128363609314, acc 0.84517, f1 0.31682, p 0.57720, r 0.21833
Iter 17800, task mwe, loss 0.2739733020464579, acc 0.84593, f1 0.34783, p 0.56338, r 0.25157
Iter 17900, task mwe, loss 0.2735261042912801, acc 0.84685, f1 0.31953, p 0.59559, r 0.21833
Iter 18000, task mwe, loss 0.2707278490066528, acc 0.84471, f1 0.34043, p 0.56082, r 0.24438
Iter 18100, task mwe, loss 0.2700619598229726, acc 0.84715, f1 0.32173, p 0.59756, r 0.22013
Iter 18200, task mwe, loss 0.2678651283184687, acc 0.84730, f1 0.34596, p 0.58174, r 0.24618
Iter 18300, task mwe, loss 0.2663128852844238, acc 0.84700, f1 0.34387, p 0.57996, r 0.24438
Iter 18400, task mwe, loss 0.2654382129510244, acc 0.84700, f1 0.32815, p 0.58974, r 0.22731
Iter 18500, task mwe, loss 0.264214434226354, acc 0.84669, f1 0.32552, p 0.59102, r 0.22462
Iter 18600, task mwe, loss 0.26292841931184135, acc 0.84624, f1 0.31848, p 0.58838, r 0.21833
Iter 18700, task mwe, loss 0.2609951257705688, acc 0.84624, f1 0.33333, p 0.57616, r 0.23450
Iter 18800, task mwe, loss 0.25946926772594453, acc 0.84624, f1 0.33609, p 0.57642, r 0.23720
Iter 18900, task mwe, loss 0.2581870824098587, acc 0.84730, f1 0.33781, p 0.58667, r 0.23720
Iter 19000, task mwe, loss 0.25664803286393484, acc 0.84792, f1 0.34766, p 0.58635, r 0.24708
Iter 19100, task mwe, loss 0.2564871231714884, acc 0.84700, f1 0.32549, p 0.59712, r 0.22372
Iter 19200, task mwe, loss 0.25569442212581633, acc 0.84654, f1 0.31635, p 0.60050, r 0.21473
Iter 19300, task mwe, loss 0.2536183685064316, acc 0.84746, f1 0.33182, p 0.59535, r 0.23001
Iter 19400, task mwe, loss 0.252143003543218, acc 0.84914, f1 0.35435, p 0.59408, r 0.25247
Iter 19500, task mwe, loss 0.2506782094637553, acc 0.84837, f1 0.35945, p 0.58384, r 0.25966
Iter 19600, task mwe, loss 0.24922532439231873, acc 0.84792, f1 0.36185, p 0.57422, r 0.26415
Iter 19700, task mwe, loss 0.24791302680969238, acc 0.84700, f1 0.37522, p 0.55654, r 0.28302
Iter 19800, task mwe, loss 0.24733452796936034, acc 0.84822, f1 0.35705, p 0.58487, r 0.25696
Iter 19900, task mwe, loss 0.24693993131319683, acc 0.84822, f1 0.33743, p 0.60138, r 0.23450
Iter 20000, task mwe, loss 0.24446747998396556, acc 0.84883, f1 0.38379, p 0.56991, r 0.28931
Iter 20100, task mwe, loss 0.24486633737881977, acc 0.84853, f1 0.34483, p 0.59603, r 0.24259
Iter 20200, task mwe, loss 0.2436635027329127, acc 0.84944, f1 0.35421, p 0.59829, r 0.25157
Iter 20300, task mwe, loss 0.2415597766637802, acc 0.84837, f1 0.36575, p 0.57280, r 0.26864
Iter 20400, task mwe, loss 0.24051862061023713, acc 0.84837, f1 0.36852, p 0.57414, r 0.27134
Iter 20500, task mwe, loss 0.23951430718104044, acc 0.84929, f1 0.37010, p 0.58189, r 0.27134
