Iter 3700, task mwe, loss 1.1483395099639893
Iter 3710, task mwe, loss 1.1597089767456055
Iter 3720, task mwe, loss 1.1446301937103271
Iter 3730, task mwe, loss 1.1386014223098755
Iter 3740, task mwe, loss 1.1483110189437866
Iter 3750, task mwe, loss 1.1271111965179443
Iter 3760, task mwe, loss 1.134202480316162
Iter 3770, task mwe, loss 1.1347682476043701
Iter 3780, task mwe, loss 1.0943876504898071
Iter 3790, task mwe, loss 1.120882272720337
Iter 3800, task mwe, loss 1.102041482925415
Iter 3810, task mwe, loss 1.0758286714553833
Iter 3820, task mwe, loss 1.1538174152374268
Iter 3830, task mwe, loss 1.1043049097061157
Iter 3840, task mwe, loss 1.1436060667037964
Iter 3850, task mwe, loss 1.1226451396942139
Iter 3860, task mwe, loss 1.114418387413025
Iter 3870, task mwe, loss 1.0713368654251099
Iter 3880, task mwe, loss 1.15364670753479
Iter 3890, task mwe, loss 1.086104154586792
Iter 3900, task mwe, loss 1.1321595907211304
Iter 3910, task mwe, loss 1.1024469137191772
Iter 3920, task mwe, loss 1.1100502014160156
Iter 3930, task mwe, loss 1.1033381223678589
Iter 3940, task mwe, loss 1.1407787799835205
Iter 3950, task mwe, loss 1.1087377071380615
Iter 3960, task mwe, loss 1.1004438400268555
Iter 3970, task mwe, loss 1.0830110311508179
Iter 3980, task mwe, loss 1.098144769668579
Iter 3990, task mwe, loss 1.137424349784851
Iter 4000, task mwe, loss 1.0868316888809204
Iter 4010, task mwe, loss 1.107969045639038
Iter 4020, task mwe, loss 1.087249517440796
Iter 4030, task mwe, loss 1.092355489730835
Iter 4040, task mwe, loss 1.093947172164917
Iter 4050, task mwe, loss 1.0674676895141602
Iter 4060, task mwe, loss 1.0821088552474976
Iter 4070, task mwe, loss 1.107691764831543
Iter 4080, task mwe, loss 1.1071269512176514
Iter 4090, task mwe, loss 1.0654919147491455
Iter 4100, task mwe, loss 1.1129179000854492
Iter 4110, task mwe, loss 1.11306631565094
Iter 4120, task mwe, loss 1.10481858253479
Iter 4130, task mwe, loss 1.0795344114303589
Iter 4140, task mwe, loss 1.0831553936004639
Iter 4150, task mwe, loss 1.0681504011154175
Iter 4160, task mwe, loss 1.076348066329956
Iter 4170, task mwe, loss 1.106990098953247
Iter 4180, task mwe, loss 1.092842698097229
Iter 4190, task mwe, loss 1.0879037380218506
Iter 4200, task mwe, loss 1.1047776937484741
Iter 4210, task mwe, loss 1.126312494277954
Iter 4220, task mwe, loss 1.0487204790115356
Iter 4230, task mwe, loss 1.0949853658676147
Iter 4240, task mwe, loss 1.0761747360229492
Iter 4250, task mwe, loss 1.0564446449279785
Iter 4260, task mwe, loss 1.1100059747695923
Iter 4270, task mwe, loss 1.095674753189087
Iter 4280, task mwe, loss 1.0551501512527466
Iter 4290, task mwe, loss 1.0836002826690674
Iter 4300, task mwe, loss 1.0773911476135254
Iter 4310, task mwe, loss 1.0862572193145752
Iter 4320, task mwe, loss 1.073155164718628
Iter 4330, task mwe, loss 1.0823227167129517
Iter 4340, task mwe, loss 1.0858131647109985
Iter 4350, task mwe, loss 1.0502955913543701
Iter 4360, task mwe, loss 1.0062713623046875
Iter 4370, task mwe, loss 1.070588231086731
Iter 4380, task mwe, loss 1.0484082698822021
Iter 4390, task mwe, loss 1.0733144283294678
Iter 4400, task mwe, loss 1.0596503019332886
Iter 4410, task mwe, loss 1.1033413410186768
Iter 4420, task mwe, loss 1.0601063966751099
Iter 4430, task mwe, loss 1.074056625366211
Iter 4440, task mwe, loss 1.0665591955184937
Iter 4450, task mwe, loss 1.0685380697250366
Iter 4460, task mwe, loss 1.088521957397461
Iter 4470, task mwe, loss 1.0455882549285889
Iter 4480, task mwe, loss 1.0497320890426636
Iter 4490, task mwe, loss 1.0581246614456177
Iter 4500, task mwe, loss 1.018630027770996
Iter 4510, task mwe, loss 1.0310752391815186
Iter 4520, task mwe, loss 1.0487056970596313
Iter 4530, task mwe, loss 1.0253584384918213
Iter 4540, task mwe, loss 1.0500739812850952
Iter 4550, task mwe, loss 1.0316449403762817
Iter 4560, task mwe, loss 1.039014458656311
Iter 4570, task mwe, loss 1.0633153915405273
Iter 4580, task mwe, loss 1.0135815143585205
Iter 4590, task mwe, loss 1.0310002565383911
Iter 4600, task mwe, loss 1.0399255752563477
Iter 4610, task mwe, loss 1.0263086557388306
Iter 4620, task mwe, loss 1.0026347637176514
Iter 4630, task mwe, loss 1.0431830883026123
Iter 4640, task mwe, loss 1.049376368522644
Iter 4650, task mwe, loss 1.0201669931411743
Iter 4660, task mwe, loss 0.9842613339424133
Iter 4670, task mwe, loss 1.036959171295166
Iter 4680, task mwe, loss 1.0053726434707642
Iter 4690, task mwe, loss 1.05466628074646
Iter 4700, task mwe, loss 1.0413802862167358
Iter 4710, task mwe, loss 1.0355937480926514
Iter 4720, task mwe, loss 1.0422037839889526
Iter 4730, task mwe, loss 1.038200855255127
Iter 4740, task mwe, loss 1.0291049480438232
Iter 4750, task mwe, loss 1.0224982500076294
Iter 4760, task mwe, loss 0.9935924410820007
Iter 4770, task mwe, loss 0.9993515014648438
Iter 4780, task mwe, loss 1.0078636407852173
