Iter 6800, task fnt, loss 0.8007693713711154, acc 0.78115, f1 0.35897, p 0.59002, r 0.25796
Iter 6800, task mwe, loss 0.7743675271670024, acc 0.82761, f1 0.02293, p 0.61905, r 0.01168
Iter 6900, task fnt, loss 0.797120544218248, acc 0.78095, f1 0.36733, p 0.58476, r 0.26777
Iter 6900, task mwe, loss 0.7705435474713643, acc 0.82761, f1 0.02295, p 0.65000, r 0.01168
Iter 7000, task fnt, loss 0.7952703698988883, acc 0.78100, f1 0.36025, p 0.58786, r 0.25970
Iter 7000, task mwe, loss 0.7662713289260864, acc 0.82837, f1 0.03655, p 0.58333, r 0.01887
Iter 7100, task fnt, loss 0.7923477561243119, acc 0.78151, f1 0.36262, p 0.58930, r 0.26188
Iter 7100, task mwe, loss 0.762101682027181, acc 0.82868, f1 0.03826, p 0.59459, r 0.01977
Iter 7200, task fnt, loss 0.7898596948192965, acc 0.78203, f1 0.36210, p 0.59208, r 0.26079
Iter 7200, task mwe, loss 0.7581561247507731, acc 0.82837, f1 0.03484, p 0.57143, r 0.01797
Iter 7300, task fnt, loss 0.7853969239419506, acc 0.78254, f1 0.38424, p 0.58493, r 0.28609
Iter 7300, task mwe, loss 0.7537967483202617, acc 0.82837, f1 0.02977, p 0.58621, r 0.01527
Iter 7400, task fnt, loss 0.7846331634829121, acc 0.78275, f1 0.36545, p 0.59430, r 0.26385
Iter 7400, task mwe, loss 0.7502055009206136, acc 0.82852, f1 0.02817, p 0.69565, r 0.01438
Iter 7500, task fnt, loss 0.7811430558081596, acc 0.78311, f1 0.37229, p 0.59323, r 0.27126
Iter 7500, task mwe, loss 0.746296223004659, acc 0.82868, f1 0.02980, p 0.60714, r 0.01527
Iter 7600, task fnt, loss 0.7799412588919362, acc 0.78326, f1 0.36369, p 0.59840, r 0.26123
Iter 7600, task mwe, loss 0.7418107748031616, acc 0.82913, f1 0.03490, p 0.60606, r 0.01797
Iter 7700, task fnt, loss 0.7779011534106347, acc 0.78347, f1 0.35944, p 0.60195, r 0.25621
Iter 7700, task mwe, loss 0.7371003190676372, acc 0.82898, f1 0.03484, p 0.57143, r 0.01797
Iter 7800, task fnt, loss 0.774394562167506, acc 0.78316, f1 0.36864, p 0.59466, r 0.26712
Iter 7800, task mwe, loss 0.7323740283648174, acc 0.82822, f1 0.04296, p 0.49020, r 0.02246
Iter 7900, task fnt, loss 0.7694439272726735, acc 0.78332, f1 0.38600, p 0.58761, r 0.28740
Iter 7900, task mwe, loss 0.7289406657218933, acc 0.82883, f1 0.03649, p 0.55263, r 0.01887
Iter 8000, task fnt, loss 0.7660817619292967, acc 0.78368, f1 0.39925, p 0.58396, r 0.30331
Iter 8000, task mwe, loss 0.7241382241249085, acc 0.82852, f1 0.04949, p 0.49153, r 0.02606
Iter 8100, task fnt, loss 0.7640986365656699, acc 0.78373, f1 0.39021, p 0.58805, r 0.29198
Iter 8100, task mwe, loss 0.7202547391255697, acc 0.82837, f1 0.05424, p 0.47761, r 0.02875
Iter 8200, task fnt, loss 0.7663857523472078, acc 0.78357, f1 0.35370, p 0.60507, r 0.24989
Iter 8200, task mwe, loss 0.7169185082117716, acc 0.82852, f1 0.04790, p 0.50000, r 0.02516
Iter 8300, task fnt, loss 0.7617802629547734, acc 0.78388, f1 0.36847, p 0.59921, r 0.26603
Iter 8300, task mwe, loss 0.7128342072168986, acc 0.82852, f1 0.05111, p 0.49180, r 0.02695
Iter 8400, task fnt, loss 0.7558948580295809, acc 0.78419, f1 0.39827, p 0.58709, r 0.30135
Iter 8400, task mwe, loss 0.7093195954958598, acc 0.82883, f1 0.03976, p 0.52273, r 0.02066
Iter 8500, task fnt, loss 0.7562744646303116, acc 0.78373, f1 0.37603, p 0.59453, r 0.27497
Iter 8500, task mwe, loss 0.7044761816660563, acc 0.82852, f1 0.04790, p 0.50000, r 0.02516
Iter 8600, task fnt, loss 0.7535478866869404, acc 0.78368, f1 0.37410, p 0.59515, r 0.27279
Iter 8600, task mwe, loss 0.7002177397410075, acc 0.82868, f1 0.05433, p 0.49231, r 0.02875
Iter 8700, task fnt, loss 0.750750849323888, acc 0.78368, f1 0.37801, p 0.59328, r 0.27737
Iter 8700, task mwe, loss 0.697445809841156, acc 0.82929, f1 0.04318, p 0.55556, r 0.02246
Iter 8800, task fnt, loss 0.7488006141877943, acc 0.78435, f1 0.37384, p 0.59904, r 0.27170
Iter 8800, task mwe, loss 0.6922507166862488, acc 0.82852, f1 0.06224, p 0.48684, r 0.03324
Iter 8900, task fnt, loss 0.7434975178011002, acc 0.78404, f1 0.39473, p 0.58750, r 0.29721
Iter 8900, task mwe, loss 0.6888144890467326, acc 0.82822, f1 0.05579, p 0.47143, r 0.02965
Iter 9000, task fnt, loss 0.7414289712905884, acc 0.78445, f1 0.38138, p 0.59592, r 0.28042
Iter 9000, task mwe, loss 0.6850153684616089, acc 0.82929, f1 0.07029, p 0.51220, r 0.03774
Iter 9100, task fnt, loss 0.7381321345606158, acc 0.78476, f1 0.39289, p 0.59227, r 0.29394
Iter 9100, task mwe, loss 0.6815698544184366, acc 0.82929, f1 0.07185, p 0.51190, r 0.03863
Iter 9200, task fnt, loss 0.7336855751852835, acc 0.78574, f1 0.41252, p 0.58876, r 0.31749
Iter 9200, task mwe, loss 0.6776228189468384, acc 0.82944, f1 0.07494, p 0.51136, r 0.04043
Iter 9300, task fnt, loss 0.7314549963320455, acc 0.78538, f1 0.40910, p 0.58838, r 0.31356
Iter 9300, task mwe, loss 0.6729203303654988, acc 0.82929, f1 0.08539, p 0.49524, r 0.04672
Iter 9400, task fnt, loss 0.7285437276286464, acc 0.78512, f1 0.41182, p 0.58592, r 0.31749
Iter 9400, task mwe, loss 0.66987597544988, acc 0.82974, f1 0.07794, p 0.50538, r 0.04223
Iter 9500, task fnt, loss 0.7283540175807092, acc 0.78373, f1 0.38296, p 0.59099, r 0.28325
Iter 9500, task mwe, loss 0.6668477733929952, acc 0.82974, f1 0.06711, p 0.50633, r 0.03594
Iter 9600, task fnt, loss 0.723665697920707, acc 0.78517, f1 0.40276, p 0.59007, r 0.30571
Iter 9600, task mwe, loss 0.6627960602442423, acc 0.82974, f1 0.07481, p 0.50000, r 0.04043
Iter 9700, task fnt, loss 0.7218702983471655, acc 0.78512, f1 0.40270, p 0.58982, r 0.30571
Iter 9700, task mwe, loss 0.6582398096720378, acc 0.82990, f1 0.07794, p 0.50538, r 0.04223
Iter 9800, task fnt, loss 0.7194055818742321, acc 0.78517, f1 0.40379, p 0.58961, r 0.30702
Iter 9800, task mwe, loss 0.654487919807434, acc 0.83005, f1 0.07648, p 0.51111, r 0.04133
Iter 9900, task fnt, loss 0.7177177013889435, acc 0.78507, f1 0.39832, p 0.59149, r 0.30026
Iter 9900, task mwe, loss 0.6496818939844767, acc 0.82944, f1 0.08809, p 0.47788, r 0.04852
Iter 10000, task fnt, loss 0.7142111437935983, acc 0.78538, f1 0.40776, p 0.58896, r 0.31182
Iter 10000, task mwe, loss 0.6469991644223531, acc 0.83036, f1 0.07960, p 0.51613, r 0.04313
Iter 10100, task fnt, loss 0.7099355382304038, acc 0.78651, f1 0.42242, p 0.58840, r 0.32948
Iter 10100, task mwe, loss 0.6435521205266317, acc 0.82974, f1 0.08230, p 0.49020, r 0.04492
Iter 10200, task fnt, loss 0.713099536395842, acc 0.78568, f1 0.37171, p 0.60863, r 0.26755
Iter 10200, task mwe, loss 0.6392808318138122, acc 0.83005, f1 0.09562, p 0.48760, r 0.05301
Iter 10300, task fnt, loss 0.7043134848917684, acc 0.78692, f1 0.42257, p 0.59038, r 0.32904
Iter 10300, task mwe, loss 0.6368025143941244, acc 0.83020, f1 0.07960, p 0.51613, r 0.04313
Iter 10400, task fnt, loss 0.7033582166317971, acc 0.78666, f1 0.40989, p 0.59477, r 0.31269
Iter 10400, task mwe, loss 0.6328394174575805, acc 0.82990, f1 0.08237, p 0.49505, r 0.04492
Iter 10500, task fnt, loss 0.6992525362199352, acc 0.78702, f1 0.42269, p 0.59084, r 0.32904
Iter 10500, task mwe, loss 0.6295619328816732, acc 0.82959, f1 0.07927, p 0.48980, r 0.04313
Iter 10600, task fnt, loss 0.6976838371446056, acc 0.78671, f1 0.41744, p 0.59160, r 0.32250
Iter 10600, task mwe, loss 0.6264587958653768, acc 0.83005, f1 0.07494, p 0.51136, r 0.04043
Iter 10700, task fnt, loss 0.6952017593768335, acc 0.78687, f1 0.42024, p 0.59114, r 0.32599
Iter 10700, task mwe, loss 0.6217237552007039, acc 0.83005, f1 0.08987, p 0.49550, r 0.04942
Iter 10800, task fnt, loss 0.6947673366915795, acc 0.78553, f1 0.40023, p 0.59315, r 0.30201
Iter 10800, task mwe, loss 0.618645187218984, acc 0.83036, f1 0.08553, p 0.50485, r 0.04672
