Iter 18400, task hyperlinks, loss 0.5443464815616608, acc 0.83052, f1 0.43243, p 0.51525, r 0.37255
Iter 18500, task hyperlinks, loss 0.5448650320370992, acc 0.82925, f1 0.43380, p 0.50993, r 0.37745
Iter 18600, task hyperlinks, loss 0.5490409831206003, acc 0.83474, f1 0.42541, p 0.53532, r 0.35294
Iter 18700, task hyperlinks, loss 0.5523344278335571, acc 0.83094, f1 0.41642, p 0.51825, r 0.34804
Iter 18800, task hyperlinks, loss 0.5670584837595621, acc 0.83347, f1 0.40545, p 0.52964, r 0.32843
Iter 18900, task hyperlinks, loss 0.5542949239412943, acc 0.82671, f1 0.41210, p 0.50000, r 0.35049
Iter 19000, task hyperlinks, loss 0.5641710758209229, acc 0.83516, f1 0.42027, p 0.53612, r 0.34559
Iter 19100, task hyperlinks, loss 0.5644571979840597, acc 0.83347, f1 0.41840, p 0.53008, r 0.34559
Iter 19200, task hyperlinks, loss 0.5606720646222433, acc 0.82206, f1 0.41399, p 0.48208, r 0.36275
Iter 19300, task hyperlinks, loss 0.5680898030598959, acc 0.81995, f1 0.41758, p 0.47500, r 0.37255
Iter 19400, task hyperlinks, loss 0.5638782183329264, acc 0.81995, f1 0.41598, p 0.47484, r 0.37010
Iter 19500, task hyperlinks, loss 0.5644092758496603, acc 0.82206, f1 0.41399, p 0.48208, r 0.36275
Iter 19600, task hyperlinks, loss 0.5741720994313558, acc 0.82206, f1 0.41069, p 0.48185, r 0.35784
Iter 19700, task hyperlinks, loss 0.5706508358319601, acc 0.82249, f1 0.41944, p 0.48397, r 0.37010
Iter 19800, task hyperlinks, loss 0.5771467487017313, acc 0.82713, f1 0.41714, p 0.50000, r 0.35784
Iter 19900, task hyperlinks, loss 0.5777544379234314, acc 0.81826, f1 0.41370, p 0.46894, r 0.37010
Iter 20000, task hyperlinks, loss 0.5834068457285563, acc 0.80938, f1 0.41307, p 0.44258, r 0.38725
Iter 20100, task hyperlinks, loss 0.5802280505498251, acc 0.82206, f1 0.41341, p 0.48052, r 0.36275
Iter 20200, task hyperlinks, loss 0.5897933840751648, acc 0.82756, f1 0.41270, p 0.50175, r 0.35049
Iter 20300, task hyperlinks, loss 0.5887075861295065, acc 0.81868, f1 0.41265, p 0.47022, r 0.36765
Iter 20400, task hyperlinks, loss 0.5884123841921488, acc 0.80938, f1 0.41460, p 0.44290, r 0.38971
Iter 20500, task hyperlinks, loss 0.5912636915842692, acc 0.82164, f1 0.40788, p 0.47855, r 0.35539
Iter 20600, task hyperlinks, loss 0.5902453064918518, acc 0.82460, f1 0.40857, p 0.48973, r 0.35049
Iter 20700, task hyperlinks, loss 0.5925434430440267, acc 0.81826, f1 0.40828, p 0.46688, r 0.36275
Iter 20800, task hyperlinks, loss 0.6011850039164225, acc 0.82587, f1 0.40863, p 0.49477, r 0.34804
Iter 20900, task hyperlinks, loss 0.5983521342277527, acc 0.81488, f1 0.41398, p 0.45833, r 0.37745
Iter 21000, task hyperlinks, loss 0.6016060709953308, acc 0.81953, f1 0.41160, p 0.47152, r 0.36520
Iter 21100, task hyperlinks, loss 0.6006773511568705, acc 0.82333, f1 0.41350, p 0.48515, r 0.36029
Iter 21200, task hyperlinks, loss 0.6119520465532938, acc 0.82587, f1 0.40693, p 0.49474, r 0.34559
Iter 21300, task hyperlinks, loss 0.6204288999239603, acc 0.82460, f1 0.40173, p 0.48944, r 0.34069
Iter 21400, task hyperlinks, loss 0.6095345218976339, acc 0.81910, f1 0.40612, p 0.46945, r 0.35784
Iter 21500, task hyperlinks, loss 0.6174129843711853, acc 0.82291, f1 0.40793, p 0.48322, r 0.35294
Iter 21600, task hyperlinks, loss 0.6132192214330038, acc 0.82291, f1 0.40286, p 0.48288, r 0.34559
Iter 21700, task hyperlinks, loss 0.6139813264211019, acc 0.81065, f1 0.40849, p 0.44509, r 0.37745
Iter 21800, task hyperlinks, loss 0.6167955199877421, acc 0.81741, f1 0.40387, p 0.46349, r 0.35784
Iter 21900, task hyperlinks, loss 0.6252847909927368, acc 0.80938, f1 0.41099, p 0.44101, r 0.38480
Iter 22000, task hyperlinks, loss 0.6302187442779541, acc 0.81910, f1 0.40612, p 0.46945, r 0.35784
Iter 22100, task hyperlinks, loss 0.6321221192677816, acc 0.82037, f1 0.40947, p 0.47419, r 0.36029
Iter 22200, task hyperlinks, loss 0.6388494769732157, acc 0.81572, f1 0.40655, p 0.45846, r 0.36520
Iter 22300, task hyperlinks, loss 0.6354438861211141, acc 0.80896, f1 0.41352, p 0.44044, r 0.38971
Iter 22400, task hyperlinks, loss 0.6343980630238851, acc 0.82206, f1 0.40678, p 0.48000, r 0.35294
Iter 22500, task hyperlinks, loss 0.6418459216753641, acc 0.81910, f1 0.40612, p 0.46945, r 0.35784
Iter 22600, task hyperlinks, loss 0.642310361067454, acc 0.81234, f1 0.41223, p 0.45058, r 0.37990
Iter 22700, task hyperlinks, loss 0.6443824569384257, acc 0.81319, f1 0.41897, p 0.45299, r 0.38971
Iter 22800, task hyperlinks, loss 0.6555249094963074, acc 0.81995, f1 0.39887, p 0.47157, r 0.34559
Iter 22900, task hyperlinks, loss 0.6575146714846293, acc 0.82037, f1 0.41111, p 0.47436, r 0.36275
Iter 23000, task hyperlinks, loss 0.6548092166582743, acc 0.81784, f1 0.41096, p 0.46584, r 0.36765
Iter 23100, task hyperlinks, loss 0.6592949430147806, acc 0.81615, f1 0.41351, p 0.46084, r 0.37500
Iter 23200, task hyperlinks, loss 0.665422260761261, acc 0.82418, f1 0.41301, p 0.48829, r 0.35784
Iter 23300, task hyperlinks, loss 0.6793014208475748, acc 0.82925, f1 0.39032, p 0.50988, r 0.31618
Iter 23400, task hyperlinks, loss 0.6686206857363383, acc 0.81107, f1 0.41316, p 0.44602, r 0.38480
